"date","borough","direction","main_street","cross_street","type","truck_route","struck_overpass","state_of_operators_license","bin","latitude","longitude","geocoded_column"
"2019-08-06T00:00:00.000","BROOKLYN","E/B","BELT PARKWAY","EAST 14th STREET","STRIKE","NO","YES","GA","2233080","40.585019","-73.954903","POINT (-73.954903 40.585019)"
"2016-02-29T00:00:00.000","QUEENS","W/B","QUEENS BOULEVARD","WOODHAVEN BLVD","STRIKE","YES","YES","N/A","2248159","40.733579","-73.870417","POINT (-73.870417 40.733579)"
"2020-12-21T00:00:00.000","STATEN ISLAND","N/B","WEST SHORE EXPRESSWAY","ARDEN AVENUE","STRIKE","YES","YES","NY","1069720","40.560651","-74.199497","POINT (-74.199497 40.560651)"
"2019-10-05T00:00:00.000","QUEENS","E/B","BROOKLYN QUEENS EXPRESSWAY","69th STREET","STRIKE","YES","YES","NY","2230550","40.743306","-73.895787","POINT (-73.895787 40.743306)"
"2016-07-18T00:00:00.000","MANHATTAN","N/B","PARK AVENUE","EAST 33rd STREET","STRIKE","NO","YES","N/A","2246540","40.746381","-73.981781","POINT (-73.981781 40.746381)"
"2015-09-24T00:00:00.000","BROOKLYN","E/B","BELT PARKWAY","EAST 14th STREET","STRIKE","NO","YES","N/A","2233080","40.585038","-73.954744","POINT (-73.954744 40.585038)"
"2018-03-30T00:00:00.000","QUEENS","E/B","BELT PARKWAY","150th STREET","STRIKE","NO","YES","N/A","1076660","40.666310","-73.789567","POINT (-73.789567 40.66631)"
"2014-03-01T00:00:00.000","BRONX","S/B","HUTCHINSON RIVER PARKWAY","WESTCHESTER AVENUE","STRIKE","NO","YES","N/A","2075837","40.842963","-73.837802","POINT (-73.837802 40.842963)"
"2021-06-11T00:00:00.000","BROOKLYN","E/B","BELT PARKWAY","CONEY ISLAND AVENUE","STRIKE","NO","YES","DC","2231610","40.584596","-73.960353","POINT (-73.960353 40.584596)"
"2019-02-21T00:00:00.000","QUEENS","W/B","JACKIE ROBINSON PARKWAY","MARKWOOD PLACE","STRIKE","NO","YES","GA","2230190","40.711773","-73.836038","POINT (-73.836038 40.711773)"
"2014-07-11T00:00:00.000","BRONX","S/B","HUTCHINSON RIVER PARKWAY","WESTCHESTER AVENUE","STRIKE","NO","YES","N/A","2075837","40.842963","-73.837802","POINT (-73.837802 40.842963)"
"2017-08-21T00:00:00.000","MANHATTAN","N/B","PARK AVENUE TUNNEL","EAST 33rd STREET","STRIKE","NO","YES","N/A","2246540","40.746440","-73.981808","POINT (-73.981808 40.74644)"
"2021-11-02T00:00:00.000","QUEENS","S/B","CROSS ISLAND PARKWAY","SOUTHERN STATE PARKWAY","STRIKE","NO","YES","MD","2266770","40.687361","-73.724915","POINT (-73.724915 40.687361)"
"2021-02-11T00:00:00.000","BRONX","S/B","HENRY HUDSON PARKWAY","WEST 252nd STREET","STRIKE","NO","YES","PA","2229500","40.899333","-73.907194","POINT (-73.907194 40.899333)"
"2020-06-29T00:00:00.000","BRONX","N/B","HENRY HUDSON PARKWAY","WEST 239th STREET","STRIKE","NO","YES","N/A","2229470","40.889358","-73.908774","POINT (-73.908774 40.889358)"
"2019-06-20T00:00:00.000","BRONX","N/B","HUTCHINSON RIVER PARKWAY","WESTCHESTER AVENUE","STRIKE","NO","YES","NY","2075837","40.842945","-73.837598","POINT (-73.837598 40.842945)"
"2019-12-17T00:00:00.000","QUEENS","E/B","QUEENS BOULEVARD","WOODHAVEN BOULEVARD","STRIKE","YES","YES","NJ","2248159","40.733518","-73.870627","POINT (-73.870627 40.733518)"
"2022-01-18T00:00:00.000","BROOKLYN","E/B","BELT PARKWAY","17th AVENUE","STRIKE","NO","YES","TN","2231290","40.601674","-74.011772","POINT (-74.011772 40.601674)"
"2020-11-02T00:00:00.000","MANHATTAN","S/B","FDR DRIVE","EAST 90th STREET","STRIKE","NO","YES","CAN","2232167","40.777492","-73.942847","POINT (-73.942847 40.777492)"
"2022-05-12T00:00:00.000","MANHATTAN","N/B","FDR DRIVE","EAST 57th STREET","STRIKE","NO","YES","MD","2233040","40.757066","-73.959863","POINT (-73.959863 40.757066)"
"2019-06-05T00:00:00.000","QUEENS","E/B","BELT PARKWAY","130th STREET","STRIKE","NO","YES","MEX","2231590","40.666577","-73.810575","POINT (-73.810575 40.666577)"
"2017-07-27T00:00:00.000","QUEENS","W/B","JACKIE ROBINSON PARKWAY","FOREST PARK DRIVE","STRIKE","NO","YES","NJ","2230109","40.699824","-73.868701","POINT (-73.868701 40.699824)"
"2017-01-24T00:00:00.000","QUEENS","W/B","JACKIE ROBINSON PARKWAY","METROPOLITAN AVENUE","STRIKE","NO","YES","N/A","2230179","40.708996","-73.841639","POINT (-73.841639 40.708996)"
"2016-02-07T00:00:00.000","QUEENS","W/B","JACKIE ROBINSON PARKWAY","MARKWOOD PLACE","STRIKE","NO","YES","N/A","2230190","40.711773","-73.836038","POINT (-73.836038 40.711773)"
"2020-06-27T00:00:00.000","BRONX","S/B","HUTCHINSON RIVER PARKWAY","WESTCHESTER AVENUE","STRIKE","NO","YES","N/A","2075837","40.842963","-73.837802","POINT (-73.837802 40.842963)"
"2022-09-13T00:00:00.000","MANHATTAN","S/B","FDR DRIVE","EAST 90th STREET","STRIKE","NO","YES","KY","2232167","40.777492","-73.942847","POINT (-73.942847 40.777492)"
"2021-01-27T00:00:00.000","QUEENS","W/B","JACKIE ROBINSON PARKWAY","QUEENS BOULEVARD","STRIKE","NO","YES","NJ","2230209","40.714381","-73.830989","POINT (-73.830989 40.714381)"
"2022-03-14T00:00:00.000","MANHATTAN","N/B","FDR DRIVE","EAST 58th STREET","STRIKE","NO","YES","NV","2233038","40.757719","-73.959396","POINT (-73.959396 40.757719)"
"2017-05-25T00:00:00.000","BROOKLYN","W/B","BELT PARKWAY","17th AVENUE","STRIKE","NO","YES","NJ","2231290","40.601568","-74.011839","POINT (-74.011839 40.601568)"
"2021-08-28T00:00:00.000","QUEENS","E/B","JACKIE ROBINSON PARKWAY","MYRTLE AVENUE","STRIKE","NO","YES","TX","2230120","40.702909","-73.858049","POINT (-73.858049 40.702909)"
"2015-03-30T00:00:00.000","MANHATTAN","W/B","65th STREET","TRANSVERSE ROAD","STRIKE","YES","NO","N/A","2246100","40.769876","-73.974707","POINT (-73.974707 40.769876)"
"2021-05-13T00:00:00.000","BROOKLYN","W/B","JACKIE ROBINSON PARKWAY","MYRTLE AVENUE","STRIKE","NO","YES","ME","2230120","40.702909","-73.858049","POINT (-73.858049 40.702909)"
"2022-07-16T00:00:00.000","MANHATTAN","S/B","FDR DRIVE","EAST 57th STREET","STRIKE","NO","YES","N/A","2233040","40.757066","-73.959863","POINT (-73.959863 40.757066)"
"2018-09-26T00:00:00.000","MANHATTAN","N/B","FDR DRIVE","EAST 57th STREET","STRIKE","NO","YES","N/A","2233038","40.757108","-73.960048","POINT (-73.960048 40.757108)"
"2013-03-19T00:00:00.000","QUEENS","E/B","BELT PARKWAY","FARMERS BOULEVARD","STRIKE","NO","YES","N/A","2231620","40.666941","-73.767092","POINT (-73.767092 40.666941)"
"2015-07-29T00:00:00.000","BRONX","S/B","HUTCHINSON RIVER PARKWAY","EAST TREMONT AVENUE","STRIKE","NO","YES","N/A","2075820","40.840729","-73.838480","POINT (-73.83848 40.840729)"
"2018-07-24T00:00:00.000","BRONX","N/B","HENRY HUDSON PARKWAY","WEST 239th STREET","STRIKE","NO","YES","N/A","2229670","40.889358","-73.908774","POINT (-73.908774 40.889358)"
"2013-11-21T00:00:00.000","MANHATTAN","S/B","FDR DRIVE","EAST 90th STREET","STRIKE","NO","YES","NY","2232167","40.777492","-73.942847","POINT (-73.942847 40.777492)"
"2018-03-06T00:00:00.000","MANHATTAN","N/B","FDR DRIVE","EAST 58th STREET","STRIKE","NO","YES","N/A","2233040","40.757719","-73.959396","POINT (-73.959396 40.757719)"
"2015-05-18T00:00:00.000","QUEENS","E/B","BELT PARKWAY","130th STREET","STRIKE","NO","YES","CO","2231590","40.666577","-73.810575","POINT (-73.810575 40.666577)"
"2021-03-12T00:00:00.000","QUEENS","W/B","JACKIE ROBINSON PARKWAY","SPRINGFIELD BOULEVARD","STRIKE","NO","YES","N/A","1055230","40.749411","-73.756855","POINT (-73.756855 40.749411)"
"2015-01-22T00:00:00.000","BRONX","N/B","HUTCHINSON RIVER PARKWAY","WESTCHESTER AVENUE","STRIKE","NO","YES","FL","2075837","40.842945","-73.837598","POINT (-73.837598 40.842945)"
"2021-04-27T00:00:00.000","BROOKLYN","E/B","BELT PARKWAY","17th AVENUE","STRIKE","NO","YES","N/A","2231290","40.601674","-74.011772","POINT (-74.011772 40.601674)"
"2018-12-08T00:00:00.000","MANHATTAN","N/B","FDR DRIVE","EAST 58th STREET","STRIKE","NO","YES","N/A","2233038","40.757719","-73.959396","POINT (-73.959396 40.757719)"
