"date","league_name","borough","asset_number"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0536"
"2017-02-28T00:00:00.000","St. Columba Youth Council","B","AED - 0527"
"2017-02-28T00:00:00.000","St Anselms","B","AED - 0471"
"2017-03-23T00:00:00.000","w.o.r.ks Little League","Q","AED - 0576"
"2017-05-14T00:00:00.000","Bayside Little League","Q","AED - 0305"
"2017-02-28T00:00:00.000","SFX Youth Sports","B","AED - 0490"
"2017-02-28T00:00:00.000","St. Columba Youth Council","B","AED - 0530"
"2017-03-23T00:00:00.000","Little Neck Douglaston Little League","Q","AED - 0578"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0198"
"2017-03-23T00:00:00.000","w.o.r.ks Little League","Q","AED - 1550"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0020"
"2017-03-23T00:00:00.000","St Gregory The Great Athletic CYO","Q","AED - 0581"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0044"
"2017-02-28T00:00:00.000","St. Patrick Baseball","B","AED - 0525"
"2017-03-23T00:00:00.000","w.o.r.ks Little League","Q","AED - 0571"
"2017-04-06T00:00:00.000","Great Kills Little League","R","AED - 0125"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0011"
"2017-04-06T00:00:00.000","Great Kills Little League","R","AED - 0029"
"2017-04-27T00:00:00.000","Good Shepherd Sports","B","AED - 0154"
"2017-02-28T00:00:00.000","St. Patrick Baseball","B","AED - 0540"
"2017-03-31T00:00:00.000","Jaws Little League","X","AED - 2057"
,"NYC PARKS","M","AED - 0018"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0132"
"2017-02-28T00:00:00.000","St. Columba Youth Council","B","AED - 0524"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0021"
"2017-03-01T00:00:00.000","Dwarf Giraffe Athletic League","Q","AED - 1267"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 1251"
"2017-03-23T00:00:00.000","St Gregory The Great Athletic CYO","Q","AED - 0587"
"2017-03-27T00:00:00.000","Peter Stuyvesant Little League","M","AED - 1078"
"2017-03-15T00:00:00.000","District 11","M","AED - 0153"
"2017-03-08T00:00:00.000","New York Empire Baseball","M","AED - 0222"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 0456"
"2017-03-03T00:00:00.000","Greenwich Village Little League","M","AED - 1283"
"2017-03-08T00:00:00.000","New York Empire Baseball","M","AED - 0174"
"2017-03-02T00:00:00.000","Hector ONeal Sport","M","AED - 0122"
"2017-03-27T00:00:00.000","SLAA CYO","Q","AED - 1935"
"2017-04-04T00:00:00.000","Downtown Manhattan Little League","M","AED - 0188"
"2017-03-28T00:00:00.000","CHSAA -  Regis HS","M","AED - 0013"
"2017-02-28T00:00:00.000","68th Precinct Youth Council","B","AED - 0501"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0232"
"2017-03-02T00:00:00.000","NYC Middle School Baseball League","Q","AED - 1272"
"2017-02-28T00:00:00.000","St. Columba Youth Council","B","AED - 0507"
"2017-02-28T00:00:00.000","Camp Friendship","B","AED - 0518"
"2017-04-15T00:00:00.000","Youth Service League, Inc.","B","AED - 0796"
,"NYC PARKS",,
"2017-03-23T00:00:00.000","Glen Oaks Little League","Q","AED - 1532"
"2017-02-28T00:00:00.000","Gravesend Athletic Association","B","AED - 0499"
"2017-03-23T00:00:00.000","Charter School Athletic Association","Q","AED - 1542"
"2017-02-28T00:00:00.000","St. Columba Youth Council","B","AED - 0514"
"2017-03-23T00:00:00.000","w.o.r.ks Little League","Q","AED - 0615"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 0904"
"2017-03-23T00:00:00.000","w.o.r.ks Little League","Q","AED - 0582"
"2017-03-23T00:00:00.000","Christ the King HS","Q","AED - 0577"
"2017-04-06T00:00:00.000","Staten Island Orioles","R","AED - 1914"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0190"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 0918"
"2017-02-28T00:00:00.000","St. Columba Youth Council","B","AED - 0517"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0141"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1643"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 0441"
"2017-02-28T00:00:00.000","SFX Youth Sports","B","AED - 0495"
"2017-03-08T00:00:00.000","New York Empire Baseball","M","AED - 0123"
"2017-02-28T00:00:00.000","St. Columba Youth Council","B","AED - 0563"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0016"
"2017-04-27T00:00:00.000","Good Shepherd Sports","B","AED - 0171"
"2017-03-23T00:00:00.000","Dwarf Giraffe Athletic League","Q","AED - 1539"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1655"
"2017-03-01T00:00:00.000","Edge Little League","Q","AED - 1558"
"2017-02-28T00:00:00.000","SFX Youth Sports","B","AED - 0494"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0019"
"2017-03-23T00:00:00.000","Charter School Athletic Association","Q","AED - 0594"
"2017-02-28T00:00:00.000","St. Columba Youth Council","B","AED - 0503"
"2017-02-28T00:00:00.000","St. Columba Youth Council","B","AED - 0519"
"2017-02-28T00:00:00.000","68th Precinct Youth Council","B","AED - 0537"
"2017-03-15T00:00:00.000","District 11","M","AED - 1619"
"2017-02-28T00:00:00.000","St. Patrick Baseball","B","AED - 0543"
"2017-04-06T00:00:00.000","Great Kills Little League","R","AED - 0126"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0022"
"2017-02-28T00:00:00.000","68th Precinct Youth Council","B","AED - 0504"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0161"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 1612"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0184"
"2017-05-04T00:00:00.000","NY Bluebirds Youth Baseball","M","AED - 0896"
"2017-02-28T00:00:00.000","St. Columba Youth Council","B","AED - 0428"
"2017-03-03T00:00:00.000","Greenwich Village Little League","M","AED - 0892"
"2017-02-28T00:00:00.000","SFX Youth Sports","B","AED - 0506"
"2017-02-28T00:00:00.000","St. Columba Youth Council","B","AED - 0485"
"2017-03-04T00:00:00.000","Blue Storm Athletics Inc","B","AED - 1439"
"2017-03-23T00:00:00.000","w.o.r.ks Little League","Q","AED - 0567"
"2017-02-28T00:00:00.000","SFX Youth Sports","B","AED - 0462"
"2017-03-23T00:00:00.000","Bayside Little League","Q","AED - 1229"
"2017-02-28T00:00:00.000","SFX Youth Sports","B","AED - 0492"
"2017-02-28T00:00:00.000","St. Patrick Baseball","B","AED - 0555"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0158"
"2017-02-28T00:00:00.000","St. Columba Youth Council","B","AED - 0532"
"2017-02-28T00:00:00.000","SFX Youth Sports","B","AED - 0512"
"2017-03-23T00:00:00.000","Christ the King HS","Q","AED - 0584"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1635"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 0448"
"2017-02-28T00:00:00.000","St Anselms","B","AED - 0493"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 0496"
"2017-06-01T00:00:00.000","Parade Ground League","B","AED - 0289"
"2017-03-23T00:00:00.000","Bayside Little League","Q","AED - 1938"
"2017-03-23T00:00:00.000","w.o.r.ks Little League","Q","AED - 0586"
"2017-03-04T00:00:00.000","Brooklyn Bandits/Williamsburg Sports League","B","AED - 1444"
"2017-03-23T00:00:00.000","Little Neck Douglaston Little League","Q","AED - 0569"
"2017-03-31T00:00:00.000","International Baseball Little League","X","AED - 2054"
"2017-03-23T00:00:00.000","w.o.r.ks Little League","Q","AED - 0573"
"2017-02-28T00:00:00.000","SFX Youth Sports","B","AED - 0498"
"2017-03-01T00:00:00.000","Dwarf Giraffe Athletic League","Q","AED - 1510"
"2017-03-14T00:00:00.000","Dyker Heights Athletic Association","B","AED - 0528"
"2017-03-23T00:00:00.000","w.o.r.ks Little League","Q","AED - 1929"
"2017-03-23T00:00:00.000","Little Neck Douglaston Little League","Q","AED - 1231"
"2017-03-23T00:00:00.000","Christ the King HS","Q","AED - 1549"
"2017-03-23T00:00:00.000","w.o.r.ks Little League","Q","AED - 1540"
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 1079"
"2017-03-23T00:00:00.000","St Gregory The Great Athletic CYO","Q","AED - 0564"
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 1236"
"2017-03-23T00:00:00.000","w.o.r.ks Little League","Q","AED - 1239"
"2017-03-04T00:00:00.000","Our Future youth","B","AED - 0561"
"2017-02-28T00:00:00.000","St. Columba Youth Council","B","AED - 0486"
"2017-03-23T00:00:00.000","Forest Hills Pony League - The Cage","Q","AED - 0588"
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 0407"
"2017-02-28T00:00:00.000","Brooklyn Wrath Baseball","B","AED - 0538"
"2017-03-23T00:00:00.000","St Gregory The Great Athletic CYO","Q","AED - 0600"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1644"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0043"
"2017-03-04T00:00:00.000","St Ephrems Baseball/Softball","B","AED - 1438"
"2017-03-23T00:00:00.000","Little Neck Douglaston Little League","Q","AED - 1522"
"2017-02-28T00:00:00.000","St. Columba Youth Council","B","AED - 0489"
"2017-02-28T00:00:00.000","68th Precinct Youth Council","B","AED - 0529"
"2017-03-23T00:00:00.000","La Javilla LL Baseball","Q","AED - 0154-S"
"2017-04-06T00:00:00.000","Jewish Community Little League, Inc.","Q","AED - 1543"
"2017-02-28T00:00:00.000","SFX Youth Sports","B","AED - 0251"
"2017-03-23T00:00:00.000","Glen Oaks Little League","Q","AED - 0612"
"2017-02-28T00:00:00.000","St. Columba Youth Council","B","AED - 0505"
"2017-01-28T00:00:00.000","High Heat Sports Academy","Q","AED - 1524"
"2017-03-23T00:00:00.000","Little Neck Douglaston Little League","Q","AED - 1923"
"2017-02-28T00:00:00.000","St. Columba Youth Council","B","AED - 0475"
"2017-03-23T00:00:00.000","Bayside Little League","Q","AED - 1932"
"2017-02-28T00:00:00.000","68th Precinct Youth Council","B","AED - 0533"
"2017-03-23T00:00:00.000","w.o.r.ks Little League","Q","AED - 0591"
"2017-02-28T00:00:00.000","St. Columba Youth Council","B","AED - 0511"
"2017-03-23T00:00:00.000","Bayside Little League","Q","AED - 1247"
"2017-03-23T00:00:00.000","Dwarf Giraffe Athletic League","Q","AED - 1238"
"2017-03-23T00:00:00.000","ASOPEC Baseball League","Q","AED - 1228"
"2017-04-10T00:00:00.000","Los Brillantes","Q","AED - 2072"
"2017-03-23T00:00:00.000","Little Neck Douglaston Little League","Q","AED - 1237"
"2017-03-02T00:00:00.000","NYC Middle School Baseball League","Q","AED - 1585"
"2017-03-23T00:00:00.000","w.o.r.ks Little League","Q","AED - 1526"
"2017-03-23T00:00:00.000","Lpfams Youth Organization","Q","AED - 1527"
"2017-03-02T00:00:00.000","NYC Middle School Baseball League","Q","AED - 1088"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 1469"
"2017-03-23T00:00:00.000","Bayside Little League","Q","AED - 1242"
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 1275"
"2017-03-01T00:00:00.000","Martin Luther School","Q","AED - 1085"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 0862"
"2017-03-01T00:00:00.000","Diamond Pros","Q","AED - 1499"
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 0405"
"2018-03-02T00:00:00.000","Cadet Baseball Inc.","R","AED - 2075"
"2017-05-12T00:00:00.000","UNION Little League","X","AED - 0364"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1663"
"2017-05-12T00:00:00.000","Richmond Amatuer Sports Associacion","Q","AED - 0312"
"2017-03-02T00:00:00.000","NYC Middle School Baseball League","Q","AED - 1507"
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 1564"
"2017-03-23T00:00:00.000","Little Neck Douglaston Little League","Q","AED - 0609"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0170"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1641"
"2017-05-08T00:00:00.000","Far Rockaway RBI","Q","AED - 0302"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0142"
,"NYC PARKS","X",
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 1575"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1649"
"2017-05-14T00:00:00.000","Bayside Little League","Q","AED - 0272"
"2017-02-28T00:00:00.000","68th Precinct Youth Council","B","AED - 0552"
"2017-03-31T00:00:00.000","TM BASEBALL ACADEMY","X","AED - 2051"
"2017-03-04T00:00:00.000","Bonnie Youth Club","B","AED - 1459"
"2017-03-03T00:00:00.000","NY Bandits","Q","AED - 1628"
"2017-05-12T00:00:00.000","UNION Little League","X","AED - 0324"
"2017-04-15T00:00:00.000","Youth Service League, Inc.","B","AED - 1094"
,"NYC PARKS",,
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0149"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 1472"
"2017-02-28T00:00:00.000","Gravesend Athletic Association","B","AED - 1653"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1356"
"2017-03-23T00:00:00.000","St Gregory The Great Athletic CYO","Q","AED - 1232"
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 0396"
"2017-03-04T00:00:00.000","Brooklyn Bandits/Williamsburg Sports League","B","AED - 1432"
"2017-03-23T00:00:00.000","Dwarf Giraffe Athletic League","Q","AED - 0570"
"2017-02-02T00:00:00.000","Turn 2 Us @ New York Presbyterian Hospital","M","AED - 0560"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0216"
"2017-05-14T00:00:00.000","Bayside Little League","Q","AED - 0290"
"2017-03-02T00:00:00.000","NYC Middle School Baseball League","Q","AED - 0614"
"2017-04-06T00:00:00.000","Great Kills Little League","R","AED - 0028"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0192"
"2017-03-01T00:00:00.000","OLBS CYO","Q","AED - 1278"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0136"
"2017-06-01T00:00:00.000","Parade Ground League","B","AED - 0267"
"2017-03-04T00:00:00.000","Our Future youth","B","AED - 1804"
"2017-03-29T00:00:00.000","Harlem RBI","M","AED - 0159"
"2017-03-01T00:00:00.000","Dwarf Giraffe Athletic League","Q","AED - 1582"
"2017-03-01T00:00:00.000","OLBS CYO","Q","AED - 1567"
"2017-03-04T00:00:00.000","Our Lady of Guadalupe Youth Program","B","AED - 1457"
"2017-05-14T00:00:00.000","Bayside Little League","Q","AED - 2066"
"2017-02-28T00:00:00.000","St. Columba Youth Council","B","AED - 0508"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0138"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0186"
"2017-02-28T00:00:00.000","St. Columba Youth Council","B","AED - 0515"
"2017-02-28T00:00:00.000","St. Patrick Baseball","B","AED - 0535"
"2017-02-28T00:00:00.000","68th Precinct Youth Council","B","AED - 0549"
"2017-02-28T00:00:00.000","St. Columba Youth Council","B","AED - 0520"
"2017-02-28T00:00:00.000","St. Columba Youth Council","B","AED - 0510"
"2017-05-12T00:00:00.000","Richmond Amatuer Sports Associacion","Q","AED - 0281"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0124"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1665"
"2017-02-28T00:00:00.000","St. Columba Youth Council","B","AED - 0513"
"2017-03-23T00:00:00.000","Little Neck Douglaston Little League","Q","AED - 0565"
"2017-02-28T00:00:00.000","68th Precinct Youth Council","B","AED - 0534"
"2017-02-28T00:00:00.000","St Anselms","B","AED - 0491"
"2017-02-28T00:00:00.000","St. Columba Youth Council","B","AED - 0509"
"2017-05-30T00:00:00.000","Kingsbridge Little League","B","AED - 0322"
"2017-03-31T00:00:00.000","Carballo Youth Baseball League","X","AED - 0379"
"2017-05-30T00:00:00.000","Kingsbridge Little League","B","AED - 0328"
"2017-05-14T00:00:00.000","Bayside Little League","Q","AED - 0311"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0548"
"2017-03-01T00:00:00.000","Dwarf Giraffe Athletic League","Q","AED - 0601"
"2017-03-01T00:00:00.000","Dwarf Giraffe Athletic League","Q","AED - 1274"
"2017-03-01T00:00:00.000","Dwarf Giraffe Athletic League","Q","AED - 0602"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1644"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1638"
"2017-03-01T00:00:00.000","Dwarf Giraffe Athletic League","Q","AED - 1224"
"2017-03-01T00:00:00.000","Edge Little League","Q","AED - 1230"
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 0611"
"2017-03-02T00:00:00.000","NYC Middle School Baseball League","Q","AED - 1561"
"2017-03-01T00:00:00.000","Edge Little League","Q","AED - 0620"
"2017-03-01T00:00:00.000","Ozone Howard ll","Q","AED - 1584"
"2017-04-06T00:00:00.000","Staten Island Orioles","R","AED - 0027"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0009"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0185"
"2017-05-30T00:00:00.000","Kingsbridge Little League","B","AED - 2048"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 1091"
"2017-03-15T00:00:00.000","District 11","M","AED - 0210"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0204"
"2017-03-30T00:00:00.000","Harlem Little League","M","AED - 0309"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0127"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0194"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0187"
"2017-03-02T00:00:00.000","The Baseball Center NYC","M","AED - 1601"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0162"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0156"
"2017-03-23T00:00:00.000","Charter School Athletic Association","Q","AED - 0590"
"2017-03-15T00:00:00.000","District 11","M","AED - 0195"
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 1265"
"2017-03-23T00:00:00.000","w.o.r.ks Little League","Q","AED - 1530"
"2017-03-29T00:00:00.000","Harlem RBI","M","AED - 0169"
"2017-03-02T00:00:00.000","NYC Middle School Baseball League","Q","AED - 1562"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0175"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 1605"
"2017-03-02T00:00:00.000","Bronx Warrior","X","AED - 1307"
"2017-03-27T00:00:00.000","Peter Stuyvesant Little League","M","AED - 1289"
"2017-05-01T00:00:00.000","Our Lady of Solace Baseball","B","AED - 0914"
"2017-03-03T00:00:00.000","NY Bandits","Q","AED - 1294"
"2017-04-27T00:00:00.000","Good Shepherd Sports","B","AED - 0268"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0134"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0193"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 1484"
"2017-04-15T00:00:00.000","St Athanasius Youth Program","B","AED - 0131"
"2017-06-16T00:00:00.000","NY Vipers","B","AED - 0253"
"2017-04-15T00:00:00.000","St Athanasius Youth Program","B","AED - 0176"
"2017-03-02T00:00:00.000","West Side Little League","M","AED -  0231"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0172"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0150"
"2017-03-03T00:00:00.000","Greenwich Village Little League","M","AED - 0014"
"2017-04-06T00:00:00.000","Staten Island Orioles","R","AED - 1917"
,"NYC PARKS","R","AED - 0024"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0202"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 1599"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0196"
"2017-03-30T00:00:00.000","Harlem Little League","M","AED - 0240"
"2017-05-10T00:00:00.000","MOVE INC","Q","AED - 0258"
"2017-03-23T00:00:00.000","Ny Lions","Q","AED - 0585"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0213"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0144"
"2017-03-03T00:00:00.000","NY Bandits","Q","AED - 0143"
"2017-03-02T00:00:00.000","Our Lady Of Sorrows Kids Sparkle Little League","M","AED - 1685"
"2017-05-01T00:00:00.000","Our Lady of Solace Baseball","B","AED - 0140"
"2017-03-01T00:00:00.000","St. Adalbert CYO baseball league","Q","AED - 1581"
"2017-03-01T00:00:00.000","Ozone Howard ll","Q","AED - 1573"
"2017-03-01T00:00:00.000","St. Adalbert CYO baseball league","Q","AED - 0617"
"2017-03-31T00:00:00.000","Rolando Paulino","X","AED - 0777"
"2017-03-08T00:00:00.000","New York Empire Baseball","M","AED - 1615"
"2017-04-27T00:00:00.000","Good Shepherd Sports","B","AED - 0179"
"2017-04-07T00:00:00.000","East Harlem Little League","M","AED - 1367"
"2017-03-01T00:00:00.000","Dwarf Giraffe Athletic League","Q","AED - 1262"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0205"
"2017-03-02T00:00:00.000","The Baseball Center NYC","M","AED - 0130"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0151"
"2017-03-23T00:00:00.000","OLBS CYO","Q","AED - 0583"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0237"
"2017-03-27T00:00:00.000","Peter Stuyvesant Little League","M","AED - 1081"
"2017-03-01T00:00:00.000","Edge Little League","Q","AED - 1597"
"2017-03-02T00:00:00.000","NYC Middle School Baseball League","Q","AED - 1578"
"2017-03-01T00:00:00.000","Ozone Howard ll","Q","AED - 1574"
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 0619"
"2017-03-31T00:00:00.000","Caribe Baseball Little League","X","AED - 0352"
"2017-03-01T00:00:00.000","Edge Little League","Q","AED - 1576"
"2017-03-23T00:00:00.000","Little Neck Douglaston Little League","Q","AED - 0580"
,"NYC PARKS","X",
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 1271"
"2017-03-31T00:00:00.000","TM BASEBALL ACADEMY","X","AED - 0356"
"2017-03-31T00:00:00.000","Caribe Baseball Little League","X","AED - 0323"
"2017-03-01T00:00:00.000","Edge Little League","Q","AED - 1258"
"2017-03-01T00:00:00.000","Dwarf Giraffe Athletic League","Q","AED - 0604"
"2017-03-01T00:00:00.000","Dwarf Giraffe Athletic League","Q","AED - 0599"
"2017-03-02T00:00:00.000","NYC Middle School Baseball League","Q","AED - 1590"
"2017-02-28T00:00:00.000","NY Diamond Mom","B","AED - 1647"
"2017-03-01T00:00:00.000","Dwarf Giraffe Athletic League","Q","AED - 1513"
"2017-03-01T00:00:00.000","NYC Middle School Baseball League","Q","AED - 0596"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0168"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1646"
"2017-02-02T00:00:00.000","Nelvin Taveras Little League","M","AED - 0544"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 1614"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 1075"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 1100"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 1466"
"2017-03-01T00:00:00.000","Ozone Howard ll","Q","AED - 1493"
"2017-03-02T00:00:00.000","Hector ONeal Sport","M","AED - 1257"
"2017-03-01T00:00:00.000","Dwarf Giraffe Athletic League","Q","AED - 1519"
"2017-03-03T00:00:00.000","Greenwich Village Little League","M","AED - 0917"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1654"
"2017-03-02T00:00:00.000","Fundacion Dominicana de Deportes en NY","X","AED - 1515"
"2017-03-03T00:00:00.000","Greenwich Village Little League","M","AED - 1305"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 1308"
"2017-05-01T00:00:00.000","Our Lady of Solace Baseball","B","AED - 1606"
"2017-04-15T00:00:00.000","Youth Service League, Inc.","B","AED - 1072"
"2017-04-15T00:00:00.000","Youth Service League, Inc.","B","AED - 1097"
"2017-04-06T00:00:00.000","Great Kills Little League","R","AED - 0030"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0916"
"2017-03-01T00:00:00.000","Edge Little League","Q","AED - 1277"
"2017-03-01T00:00:00.000","Dwarf Giraffe Athletic League","Q","AED - 1268"
"2017-03-23T00:00:00.000","Dwarf Giraffe Athletic League","Q","AED - 0618"
"2017-03-04T00:00:00.000","Amity Little League","B","AED - 1453"
"2017-03-23T00:00:00.000","w.o.r.ks Little League","Q","AED - 0572"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1651"
"1900-01-03T00:00:00.000","RGMVM LL","Q","AED - 1579"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 0164"
"2017-03-27T00:00:00.000","Peter Stuyvesant Little League","M","AED - 2058"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1640"
"2017-03-02T00:00:00.000","Our Lady Of Sorrows Kids Sparkle Little League","M","AED - 1260"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1336"
"2017-02-02T00:00:00.000","Crossover Sports","M","AED - 0166"
"2017-03-23T00:00:00.000","Bayside Little League","Q","AED - 1256"
"2017-03-03T00:00:00.000","Greenwich Village Little League","M","AED - 0177"
"2017-02-28T00:00:00.000","SFX Youth Sports","B","AED - 1650"
"2017-03-03T00:00:00.000","Yorkville Youth Athletic Association Inc.","M","AED - 1481"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0541"
"2017-03-02T00:00:00.000","NYC Middle School Baseball League","Q","AED - 1076"
"2017-03-01T00:00:00.000","Dwarf Giraffe Athletic League","Q","AED - 1516"
"2017-03-02T00:00:00.000","NYC Middle School Baseball League","Q","AED - 1276"
"2017-02-28T00:00:00.000","78th Precinct Youth Council","B","AED - 1328"
"2017-03-23T00:00:00.000","w.o.r.ks Little League","Q","AED - 1545"
"2017-03-03T00:00:00.000","Greenwich Village Little League","M","AED - 0553"
"2017-03-03T00:00:00.000","Greenwich Village Little League","M","AED - 0554"
"2017-03-29T00:00:00.000","Harlem RBI","M","AED - 0547"
"2017-05-01T00:00:00.000","Our Lady of Solace Baseball","B","AED - 0893"
"2017-03-27T00:00:00.000","Peter Stuyvesant Little League","M","AED - 1309"
"2017-03-02T00:00:00.000","West Side Little League","M","AED - 0550"
