"development_name","borough","account_name","location","meter_amr","meter_scope","tds","edp","rc_code","funding_source","amp","vendor_name","umis_bill_id","revenue_month","service_start_date","service_end_date","days","meter_number","estimated","current_charges","rate_class","bill_analyzed","consumption_kwh","kwh_charges","consumption_kw","kw_charges","other_charges"
"POMONOK","QUEENS","POMONOK","BLD 26","AMR",,"53","588","Q005300","FEDERAL","NY005000530P","NEW YORK POWER AUTHORITY","12242799","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2789368","N","2370.48","GOV/NYC/068","Yes","22240","1122.02","0","0","1248.46"
"WILLIAMSBURG","BROOKLYN","WILLIAMSBURG","BLD 02","AMR",,"2","200","K000200","FEDERAL","NY005000020P","NEW YORK POWER AUTHORITY","12243471","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2788510","N","1634.45","GOV/NYC/068","Yes","14560","760.91","0","0","873.54"
"WILLIAMSBURG","BROOKLYN","WILLIAMSBURG","BLD 08","AMR",,"2","200","K000200","FEDERAL","NY005000020P","NEW YORK POWER AUTHORITY","12243471","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2788534","N","2074.49","GOV/NYC/068","Yes","18480","965.76","0","0","1108.73"
"POMONOK","QUEENS","POMONOK","BLD 18","AMR",,"53","588","Q005300","FEDERAL","NY005000530P","NEW YORK POWER AUTHORITY","12242799","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2789369","N","2728.62","GOV/NYC/068","Yes","25600","1291.54","0","0","1437.08"
"BREUKELEN","BROOKLYN","BREUKELEN","BLD 19","INTERVAL",,"56","212","K005600","FEDERAL","NY005000560P","NEW YORK POWER AUTHORITY","12243538","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1789986","N","502","GOV/NYC/068","Yes","0","0","42.38","502","0"
"#N/A","NON DEVELOPMENT FACILITY","NDF - PSA 3, 25 CENTRAL AVE","BLD 03","NONE",,,"999","1012000","NON-DEVELOPMENT","NDF","NEW YORK POWER AUTHORITY","12243451","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","9866352","Y","9363.35","GOV/NYC/069","Yes","55800","2923.36","116","1244.68","5195.31"
"TWO BRIDGES URA (SITE 7)","MANHATTAN","TWO BRIDGES URA (SITE 7)","BLD 01","INTERVAL",,"266","389","M026600","FEDERAL","NY005010760P","NEW YORK POWER AUTHORITY","12243193","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1785739","N","8319.9","GOV/NYC/068","Yes","0","0","351.84","3870.24","4449.66"
"WILLIAMSBURG","BROOKLYN","WILLIAMSBURG","BLD 07","AMR",,"2","200","K000200","FEDERAL","NY005000020P","NEW YORK POWER AUTHORITY","12243471","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2788533","N","2101.47","GOV/NYC/068","Yes","18720","978.31","0","0","1123.16"
"SAINT MARY'S PARK","BRONX","SAINT MARYS PARK","BLD 06","AMR",,"93","673","B009300","MIXED FINANCE/LLC1","NY005020930P","NEW YORK POWER AUTHORITY","12242882","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2786006","N","8893.18","GOV/NYC/068","Yes","82600","4168.12","0","0","4725.06"
"POMONOK","QUEENS","POMONOK","BLD 16","AMR",,"53","588","Q005300","FEDERAL","NY005000530P","NEW YORK POWER AUTHORITY","12242799","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2789421","N","8782.73","GOV/NYC/068","Yes","82400","4157.13","0","0","4625.6"
"BREUKELEN","BROOKLYN","BREUKELEN","BLD 14","INTERVAL",,"56","212","K005600","FEDERAL","NY005000560P","NEW YORK POWER AUTHORITY","12243538","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1789983","N","585.63","GOV/NYC/068","Yes","0","0","49.44","585.63","0"
"POLO GROUNDS TOWERS","MANHATTAN","POLO GROUNDS TOWERS","BLD 02","INTERVAL",,"149","260","M014900","FEDERAL","NY005001490P","NEW YORK POWER AUTHORITY","12243428","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1786567","N","5949.01","GOV/NYC/068","Yes","0","0","484.32","5949.01","0"
"PELHAM PARKWAY","BRONX","PELHAM PARKWAY","BLD 04","INTERVAL",,"39","586","B003900","FEDERAL","NY005010390P","NEW YORK POWER AUTHORITY","12242995","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1786423","N","1177.79","GOV/NYC/068","Yes","0","0","50.74","558.14","619.65"
"#N/A","NON DEVELOPMENT FACILITY","NDF - PSA 4, 130 AVENUE C","BLD 04","NONE",,,"999","1011400","NON-DEVELOPMENT","NDF","NEW YORK POWER AUTHORITY","12243211","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","13186209","N","11850.61","GOV/NYC/069","Yes","82400","4316.94","132","1416.36","6117.31"
"SOUTH JAMAICA II","QUEENS","SOUTH JAMAICA II","SOUTH JAMAICA II BLD 27","INTERVAL",,"66","220","Q006600","FEDERAL","NY005010080P","NEW YORK POWER AUTHORITY","12242775","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1790111","N","428.06","GOV/NYC/068","Yes","0","0","36.14","428.06","0"
"TWIN PARKS WEST (SITES 1 & 2)","BRONX","TWIN PARKS WEST (SITES 1 & 2)","BLD 01","AMR",,"227","363","B022700","FEDERAL","NY005012270P","NEW YORK POWER AUTHORITY","12242893","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2787454","N","17306.48","GOV/NYC/068","Yes","166400","8696.06","0","0","8610.42"
"WASHINGTON HEIGHTS REHAB PHASE III","MANHATTAN","WASHINGTON HEIGHTS REHAB PHASE III","BLD 06","NONE",,"523","756","M052300","FEDERAL","NY005013090P","NEW YORK POWER AUTHORITY","12243373","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","14330242","N","245.38","GOV/NYC/062","Yes","702","55.07","0","0","190.31"
"WILLIAMSBURG","BROOKLYN","WILLIAMSBURG","BLD 10","AMR",,"2","200","K000200","FEDERAL","NY005000020P","NEW YORK POWER AUTHORITY","12243471","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2788532","N","2065.51","GOV/NYC/068","Yes","18400","961.58","0","0","1103.93"
"BREUKELEN","BROOKLYN","BREUKELEN","BLD 17","AMR",,"56","212","K005600","FEDERAL","NY005000560P","NEW YORK POWER AUTHORITY","12243538","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2790016","N","2126.6","GOV/NYC/068","Yes","20160","1017.26","0","0","1109.34"
"SAINT MARY'S PARK","BRONX","SAINT MARYS PARK","BLD 01","AMR",,"93","673","B009300","MIXED FINANCE/LLC1","NY005020930P","NEW YORK POWER AUTHORITY","12242882","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2786005","N","8957.78","GOV/NYC/068","Yes","83200","4198.4","0","0","4759.38"
"RANGEL","MANHATTAN","RANGEL","BLD 05","INTERVAL",,"37","317","M003700","FEDERAL","NY005000370P","NEW YORK POWER AUTHORITY","12243156","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1785776","N","830.11","GOV/NYC/068","Yes","0","0","71.14","830.11","0"
"BLAND","QUEENS","BLAND","BLD 01","INTERVAL",,"54","519","Q005400","FEDERAL","NY005011860P","NEW YORK POWER AUTHORITY","12242798","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1789396","N","1999.07","GOV/NYC/068","Yes","0","0","85.44","939.84","1059.23"
"LEXINGTON","MANHATTAN","LEXINGTON","LEXINGTON BLD 01","INTERVAL",,"50","374","M005000","FEDERAL","NY005010620P","NEW YORK POWER AUTHORITY","12243241","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1790414","N","2531.41","GOV/NYC/068","Yes","0","0","108","1188","1343.41"
"BREUKELEN","BROOKLYN","BREUKELEN","BLD 31","INTERVAL",,"56","212","K005600","FEDERAL","NY005000560P","NEW YORK POWER AUTHORITY","12243538","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1790006","N","71.07","GOV/NYC/068","Yes","0","0","6","71.07","0"
"POMONOK","QUEENS","POMONOK","BLD 16","INTERVAL",,"53","588","Q005300","FEDERAL","NY005000530P","NEW YORK POWER AUTHORITY","12242799","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1789421","N","1636.28","GOV/NYC/068","Yes","0","0","144","1636.28","0"
"POLO GROUNDS TOWERS","MANHATTAN","POLO GROUNDS TOWERS","BLD 01","INTERVAL",,"149","260","M014900","FEDERAL","NY005001490P","NEW YORK POWER AUTHORITY","12243428","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1786570","N","5265.08","GOV/NYC/068","Yes","0","0","428.64","5265.08","0"
"PELHAM PARKWAY","BRONX","PELHAM PARKWAY","BLD 15","AMR",,"39","586","B003900","FEDERAL","NY005010390P","NEW YORK POWER AUTHORITY","12242995","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2786913","N","1914.47","GOV/NYC/068","Yes","17360","907.23","0","0","1007.24"
"PELHAM PARKWAY","BRONX","PELHAM PARKWAY","BLD 09","INTERVAL",,"39","586","B003900","FEDERAL","NY005010390P","NEW YORK POWER AUTHORITY","12242995","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1786424","N","1027.39","GOV/NYC/068","Yes","0","0","44.26","486.86","540.53"
"DREW-HAMILTON","MANHATTAN","DREW-HAMILTON","BLD 05 - Community Center","NONE","Community Center","111","434","M211100","MIXED FINANCE/LLC1","NY005021110P","NEW YORK POWER AUTHORITY","12243299","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","11049776","N","1621.17","GOV/NYC/069","Yes","7760","406.55","22.4","240.35","974.27"
"POMONOK","QUEENS","POMONOK","BLD 29","INTERVAL",,"53","588","Q005300","FEDERAL","NY005000530P","NEW YORK POWER AUTHORITY","12242799","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1789445","N","603.83","GOV/NYC/068","Yes","0","0","53.14","603.83","0"
"SOUTH JAMAICA II","QUEENS","SOUTH JAMAICA II","SOUTH JAMAICA II BLD 19","INTERVAL",,"66","220","Q006600","FEDERAL","NY005010080P","NEW YORK POWER AUTHORITY","12242775","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1788438","N","801.64","GOV/NYC/068","Yes","0","0","67.68","801.64","0"
"SOUTH JAMAICA II","QUEENS","SOUTH JAMAICA II","SOUTH JAMAICA II BLD 25","INTERVAL",,"66","220","Q006600","FEDERAL","NY005010080P","NEW YORK POWER AUTHORITY","12242775","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1789930","N","464.54","GOV/NYC/068","Yes","0","0","39.22","464.54","0"
"SUTTER AVENUE-UNION STREET","BROOKLYN","SUTTER AVENUE-UNION STREET","BLD 01","NONE",,"369","807","K036900","FEDERAL","NY005011670P","NEW YORK POWER AUTHORITY","12243522","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2780571","N","1196.35","GOV/NYC/069","Yes","6880","360.44","15.2","163.1","672.81"
"TILDEN","BROOKLYN","TILDEN","BLD 07","NONE",,"96","233","K009600","FEDERAL","NY005000720P","NEW YORK POWER AUTHORITY","12243620","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2779729","N","10457.72","GOV/NYC/068","Yes","68000","3553.68","120","1320","5584.04"
"VLADECK II","MANHATTAN","VLADECK II","VLADECK II BLD 23","INTERVAL",,"7","371","M000700","FEDERAL","NY005010060P","NEW YORK POWER AUTHORITY","12243225","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1784535","N","1036.37","GOV/NYC/068","Yes","0","0","42.72","469.92","566.45"
"WASHINGTON HEIGHTS REHAB PHASE III","MANHATTAN","WASHINGTON HEIGHTS REHAB PHASE III","BLD 02","NONE",,"523","756","M052300","FEDERAL","NY005013090P","NEW YORK POWER AUTHORITY","12243370","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","13182200","N","607.17","GOV/NYC/062","Yes","1782","139.8","0","0","467.37"
"WHITMAN","BROOKLYN","WHITMAN","WHITMAN BLD 05","INTERVAL",,"514","509","K051400","FEDERAL","NY005005140P","NEW YORK POWER AUTHORITY","12243458","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1786829","N","665.81","GOV/NYC/068","Yes","0","0","55.2","665.81","0"
"WILLIAMSBURG","BROOKLYN","WILLIAMSBURG","BLD 09","AMR",,"2","200","K000200","FEDERAL","NY005000020P","NEW YORK POWER AUTHORITY","12243471","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2788531","N","2388.77","GOV/NYC/068","Yes","21280","1112.09","0","0","1276.68"
"SOUNDVIEW","BRONX","SOUNDVIEW","SOUNDVIEW BLD 01","AMR",,"71","537","B007100","FEDERAL","NY005000710P","NEW YORK POWER AUTHORITY","12242903","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2787703","N","5366.51","GOV/NYC/068","Yes","49920","2518.95","0","0","2847.56"
"BREUKELEN","BROOKLYN","BREUKELEN","BLD 03","AMR",,"56","212","K005600","FEDERAL","NY005000560P","NEW YORK POWER AUTHORITY","12243538","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2790024","N","2801.71","GOV/NYC/068","Yes","26560","1340.2","0","0","1461.51"
"BREUKELEN","BROOKLYN","BREUKELEN","BLD 18","INTERVAL",,"56","212","K005600","FEDERAL","NY005000560P","NEW YORK POWER AUTHORITY","12243538","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1790012","N","463.39","GOV/NYC/068","Yes","0","0","39.12","463.39","0"
"BREUKELEN","BROOKLYN","BREUKELEN","BLD 23","INTERVAL",,"56","212","K005600","FEDERAL","NY005000560P","NEW YORK POWER AUTHORITY","12243538","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1790002","N","574.26","GOV/NYC/068","Yes","0","0","48.48","574.26","0"
"ROOSEVELT II","BROOKLYN","ROOSEVELT II","BLD 07","AMR",,"177","281","K017700","FEDERAL","NY005011350P","NEW YORK POWER AUTHORITY","12243651","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","7424138","N","8050.29","GOV/NYC/068","Yes","49280","2575.37","97.6","1073.6","4401.32"
"RANGEL","MANHATTAN","RANGEL","BLD 04","INTERVAL",,"37","317","M003700","FEDERAL","NY005000370P","NEW YORK POWER AUTHORITY","12243156","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1787317","N","1762.1","GOV/NYC/068","Yes","0","0","151.01","1762.1","0"
"POMONOK","QUEENS","POMONOK","BLD 03","AMR",,"53","588","Q005300","FEDERAL","NY005000530P","NEW YORK POWER AUTHORITY","12242799","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2789896","N","3419.3","GOV/NYC/068","Yes","32080","1618.46","0","0","1800.84"
"BLAND","QUEENS","BLAND","BLD 03","INTERVAL",,"54","519","Q005400","FEDERAL","NY005011860P","NEW YORK POWER AUTHORITY","12242798","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1789395","N","2044","GOV/NYC/068","Yes","0","0","87.36","960.96","1083.04"
"GLENWOOD","BROOKLYN","GLENWOOD","BLD 13","AMR",,"44","584","K004400","FEDERAL","NY005000440P","NEW YORK POWER AUTHORITY","12243485","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2786665","N","2788.11","GOV/NYC/068","Yes","26400","1332.95","0","0","1455.16"
"KING TOWERS","MANHATTAN","KING TOWERS","BLD 04","INTERVAL",,"30","518","M003000","FEDERAL","NY005010300P","NEW YORK POWER AUTHORITY","12243208","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1785090","N","1035.34","GOV/NYC/068","Yes","0","0","86.02","1035.34","0"
"GLENWOOD","BROOKLYN","GLENWOOD","BLD 10","AMR",,"44","584","K004400","FEDERAL","NY005000440P","NEW YORK POWER AUTHORITY","12243485","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2785294","N","2754.31","GOV/NYC/068","Yes","26080","1316.79","0","0","1437.52"
"GOMPERS","MANHATTAN","GOMPERS","BLD 02","NONE",,"100","237","M010000","FEDERAL","NY005011000P","NEW YORK POWER AUTHORITY","12243163","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","9420760","N","18767.1","GOV/NYC/068","Yes","126400","6605.66","208","2288","9873.44"
"EAST 173RD STREET-VYSE AVENUE","BRONX","EAST 173RD STREET-VYSE AVENUE","BLD 03","NONE",,"338","778","B033800","FEDERAL","NY005015300P","NEW YORK POWER AUTHORITY","12243122","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2758186","N","791.41","GOV/NYC/062","Yes","2304","180.75","0","0","610.66"
"POMONOK","QUEENS","POMONOK","BLD 20","INTERVAL",,"53","588","Q005300","FEDERAL","NY005000530P","NEW YORK POWER AUTHORITY","12242799","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1789427","N","501.79","GOV/NYC/068","Yes","0","0","44.16","501.79","0"
"LEXINGTON","MANHATTAN","LEXINGTON","LEXINGTON BLD 04","INTERVAL",,"50","374","M005000","FEDERAL","NY005010620P","NEW YORK POWER AUTHORITY","12243241","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1790467","N","1800.12","GOV/NYC/068","Yes","0","0","76.8","844.8","955.32"
"FIORENTINO PLAZA","BROOKLYN","FIORENTINO PLAZA","BLD 13","NONE",,"207","375","K020700","FEDERAL","NY005012610P","NEW YORK POWER AUTHORITY","12243707","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","9998083","N","2014.44","GOV/NYC/068","Yes","12600","658.48","24","264","1091.96"
"INDEPENDENCE","BROOKLYN","INDEPENDENCE","BLD 05","AMR",,"140","442","K014000","MIXED FINANCE/LLC2","NY005021400P","NEW YORK POWER AUTHORITY","12243638","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2788573","N","20206.1","GOV/NYC/068","Yes","173600","9072.34","0","0","11133.76"
"PELHAM PARKWAY","BRONX","PELHAM PARKWAY","BLD 10","AMR",,"39","586","B003900","FEDERAL","NY005010390P","NEW YORK POWER AUTHORITY","12242995","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2786935","N","1852.7","GOV/NYC/068","Yes","16800","877.97","0","0","974.73"
"HUGHES APARTMENTS","BROOKLYN","HUGHES APARTMENTS","BLD 02","NONE",,"168","275","K016800","FEDERAL","NY005011680P","NEW YORK POWER AUTHORITY","12243683","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","9420454","N","14847.15","GOV/NYC/068","Yes","101600","5309.62","164","1804","7733.53"
"PELHAM PARKWAY","BRONX","PELHAM PARKWAY","BLD 07","INTERVAL",,"39","586","B003900","FEDERAL","NY005010390P","NEW YORK POWER AUTHORITY","12242995","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1786868","N","1289.23","GOV/NYC/068","Yes","0","0","55.54","610.94","678.29"
"FENIMORE-LEFFERTS","BROOKLYN","FENIMORE-LEFFERTS","BLD 03","NONE",,"205","322","K020500","FEDERAL","NY005011670P","NEW YORK POWER AUTHORITY","12243712","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","4067980","N","119.61","GOV/NYC/062","Yes","348","27.3","0","0","92.31"
"BREUKELEN","BROOKLYN","BREUKELEN","BLD 04","AMR",,"56","212","K005600","FEDERAL","NY005000560P","NEW YORK POWER AUTHORITY","12243538","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2790013","N","3189.9","GOV/NYC/068","Yes","30240","1525.89","0","0","1664.01"
"SOUNDVIEW","BRONX","SOUNDVIEW","SOUNDVIEW BLD 11","AMR",,"71","537","B007100","FEDERAL","NY005000710P","NEW YORK POWER AUTHORITY","12242903","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2785630","N","5865.33","GOV/NYC/068","Yes","54560","2753.09","0","0","3112.24"
"FHA REPOSSESSED HOUSES (GROUP IX)","FHA","FHA REPOSSESSED HOUSES (GROUP IX)","75 WAVERLY AVENUE","NONE",,"283","376","Q028300","FEDERAL","NY005012090P","NEW YORK POWER AUTHORITY","12243851","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2718218","N","74.59","GOV/NYC/062","Yes","216","16.95","0","0","57.64"
"SOUTH JAMAICA II","QUEENS","SOUTH JAMAICA II",,"INTERVAL",,"66","220","Q006600","FEDERAL","NY005010080P","NEW YORK POWER AUTHORITY","12242775","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1788044","N","546.98","GOV/NYC/068","Yes","0","0","46.18","546.98","0"
"SOUTH JAMAICA II","QUEENS","SOUTH JAMAICA II","SOUTH JAMAICA II BLD 21","INTERVAL",,"66","220","Q006600","FEDERAL","NY005010080P","NEW YORK POWER AUTHORITY","12242775","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1788437","N","183.95","GOV/NYC/068","Yes","0","0","15.53","183.95","0"
"SOUTH JAMAICA II","QUEENS","SOUTH JAMAICA II","SOUTH JAMAICA II BLD 16","INTERVAL",,"66","220","Q006600","FEDERAL","NY005010080P","NEW YORK POWER AUTHORITY","12242775","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1788465","N","420.13","GOV/NYC/068","Yes","0","0","35.47","420.13","0"
"SOUTH JAMAICA II","QUEENS","SOUTH JAMAICA II","SOUTH JAMAICA II BLD 13","INTERVAL",,"66","220","Q006600","FEDERAL","NY005010080P","NEW YORK POWER AUTHORITY","12242775","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1789929","N","254.42","GOV/NYC/068","Yes","0","0","21.48","254.42","0"
"SOUTH JAMAICA II","QUEENS","SOUTH JAMAICA II","SOUTH JAMAICA II BLD 24","AMR",,"66","220","Q006600","FEDERAL","NY005010080P","NEW YORK POWER AUTHORITY","12242775","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2788083","N","1702.99","GOV/NYC/068","Yes","16120","813.35","0","0","889.64"
"SUTTER AVENUE-UNION STREET","BROOKLYN","SUTTER AVENUE-UNION STREET","BLD 02","NONE",,"369","807","K036900","FEDERAL","NY005011670P","NEW YORK POWER AUTHORITY","12243521","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2780573","N","977.39","GOV/NYC/069","Yes","7120","373.02","10.4","111.59","492.78"
"TILDEN","BROOKLYN","TILDEN","BLD 05","NONE",,"96","233","K009600","FEDERAL","NY005000720P","NEW YORK POWER AUTHORITY","12243618","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","7922976","N","16115.48","GOV/NYC/068","Yes","104400","5455.94","188","2068","8591.54"
"TILDEN","BROOKLYN","TILDEN","BLD 06","AMR",,"96","233","K009600","FEDERAL","NY005000720P","NEW YORK POWER AUTHORITY","12243619","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","8072600","N","10881.37","GOV/NYC/068","Yes","72000","3762.72","124","1364","5754.65"
"UNITY PLAZA (SITES 4-27)","BROOKLYN","UNITY PLAZA (SITES 04-27)","BLD 05","NONE",,"261","318","K026100","FEDERAL","NY005012610P","NEW YORK POWER AUTHORITY","12243482","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","9864181","N","9457.75","GOV/NYC/068","Yes","56480","2951.64","119.2","1311.2","5194.91"
"VLADECK II","MANHATTAN","VLADECK II","VLADECK II BLD 22","INTERVAL",,"7","371","M000700","FEDERAL","NY005010060P","NEW YORK POWER AUTHORITY","12243225","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1784507","N","1315.84","GOV/NYC/068","Yes","0","0","54.24","596.64","719.2"
"WAGNER","MANHATTAN","WAGNER","BLD 19","INTERVAL",,"74","224","M007400","FEDERAL","NY005010740P","NEW YORK POWER AUTHORITY","12243357","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1784525","N","1222.53","GOV/NYC/068","Yes","0","0","98.11","1222.53","0"
"WASHINGTON HEIGHTS REHAB (GROUPS 1&2)","MANHATTAN","WASHINGTON HEIGHTS REHAB (GROUPS 1&2)","BLD 04","NONE",,"293","563","M029300","FEDERAL","NY005013090P","NEW YORK POWER AUTHORITY","12243371","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","14330239","N","806.01","GOV/NYC/069","Yes","4608","241.41","10.44","112.02","452.58"
"WEST FARMS ROAD REHAB","BRONX","WEST FARMS ROAD REHAB","BLD 03","NONE",,"360","780","B053000","FEDERAL","NY005015300P","NEW YORK POWER AUTHORITY","12243113","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","9984360","N","1903.93","GOV/NYC/069","Yes","13640","714.6","22.4","240.35","948.98"
"WHITMAN","BROOKLYN","WHITMAN","WHITMAN BLD 08","INTERVAL",,"514","509","K051400","FEDERAL","NY005005140P","NEW YORK POWER AUTHORITY","12243458","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1786828","N","607.92","GOV/NYC/068","Yes","0","0","50.4","607.92","0"
"WHITMAN","BROOKLYN","WHITMAN","WHITMAN BLD 07","INTERVAL",,"514","509","K051400","FEDERAL","NY005005140P","NEW YORK POWER AUTHORITY","12243458","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1787141","N","435.67","GOV/NYC/068","Yes","0","0","36.12","435.67","0"
"WILLIAMSBURG","BROOKLYN","WILLIAMSBURG","BLD 12","AMR",,"2","200","K000200","FEDERAL","NY005000020P","NEW YORK POWER AUTHORITY","12243471","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2788529","N","2730.08","GOV/NYC/068","Yes","24320","1270.96","0","0","1459.12"
"WILLIAMSBURG","BROOKLYN","WILLIAMSBURG","BLD 20","NONE",,"2","200","K000200","FEDERAL","NY005000020P","NEW YORK POWER AUTHORITY","12243471","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","6477762","N","0","GOV/NYC/068","Yes","0","0","0","0","0"
"SOUNDVIEW","BRONX","SOUNDVIEW","SOUNDVIEW BLD 06","AMR",,"71","537","B007100","FEDERAL","NY005000710P","NEW YORK POWER AUTHORITY","12242903","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2787704","N","6071.73","GOV/NYC/068","Yes","56480","2849.97","0","0","3221.76"
"CLAREMONT REHAB (GROUP 5)","BRONX","CLAREMONT REHAB (GROUP 5)","BLD 03","NONE",,"336","752","B033600","FEDERAL","NY005013080P","NEW YORK POWER AUTHORITY","12243085","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","4237198","N","887.9","GOV/NYC/069","Yes","5480","287.1","12.4","133.05","467.75"
"BREUKELEN","BROOKLYN","BREUKELEN","BLD 22","AMR",,"56","212","K005600","FEDERAL","NY005000560P","NEW YORK POWER AUTHORITY","12243538","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2790025","N","3839.69","GOV/NYC/068","Yes","36400","1836.72","0","0","2002.97"
