"development_name","borough","account_name","location","meter_amr","meter_scope","tds","edp","rc_code","funding_source","amp","vendor_name","umis_bill_id","revenue_month","service_start_date","service_end_date","days","meter_number","estimated","current_charges","rate_class","bill_analyzed","consumption_kwh","kwh_charges","consumption_kw","kw_charges","other_charges"
"BREUKELEN","BROOKLYN","BREUKELEN","BLD 13","AMR",,"56","212","K005600","FEDERAL","NY005000560P","NEW YORK POWER AUTHORITY","12243538","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2790011","N","2075.97","GOV/NYC/068","Yes","19680","993.04","0","0","1082.93"
"BREUKELEN","BROOKLYN","BREUKELEN","BLD 08","AMR",,"56","212","K005600","FEDERAL","NY005000560P","NEW YORK POWER AUTHORITY","12243538","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2790018","N","3333.35","GOV/NYC/068","Yes","31600","1594.51","0","0","1738.84"
"SAMUEL (MHOP) I","MANHATTAN","SAMUEL (MHOP) I","BLD 40","NONE",,"389","847","M038900","FEDERAL","NY005013170P","NEW YORK POWER AUTHORITY","12243444","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2810317","N","357.21","GOV/NYC/069","Yes","2142","112.22","4.32","46.35","198.64"
"INDEPENDENCE","BROOKLYN","INDEPENDENCE","BLD 02","AMR",,"140","442","K014000","MIXED FINANCE/LLC2","NY005021400P","NEW YORK POWER AUTHORITY","12243637","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2784233","N","19337.02","GOV/NYC/068","Yes","168800","8821.49","0","0","10515.53"
"HUNTS POINT AVENUE REHAB","BRONX","HUNTS POINT AVENUE REHAB","BLD 10","NONE",,"367","806","B036700","FEDERAL","NY005015300P","NEW YORK POWER AUTHORITY","12243068","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","14332432","N","1534.27","GOV/NYC/062","Yes","4716","369.97","0","0","1164.3"
"PELHAM PARKWAY","BRONX","PELHAM PARKWAY","BLD 04","AMR",,"39","586","B003900","FEDERAL","NY005010390P","NEW YORK POWER AUTHORITY","12242995","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2786938","N","3140.78","GOV/NYC/068","Yes","28480","1488.36","0","0","1652.42"
"PELHAM PARKWAY","BRONX","PELHAM PARKWAY","BLD 03","AMR",,"39","586","B003900","FEDERAL","NY005010390P","NEW YORK POWER AUTHORITY","12242995","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2786870","N","1887.99","GOV/NYC/068","Yes","17120","894.69","0","0","993.3"
"PELHAM PARKWAY","BRONX","PELHAM PARKWAY","BLD 11","AMR",,"39","586","B003900","FEDERAL","NY005010390P","NEW YORK POWER AUTHORITY","12242995","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2786911","N","1843.9","GOV/NYC/068","Yes","16720","873.79","0","0","970.11"
"FHA REPOSSESSED HOUSES (GROUP IX)","FHA","FHA REPOSSESSED HOUSES (GROUP IX)","367 Douglass Street","NONE",,"283","376","Q028300","FEDERAL","NY005012090P","NEW YORK POWER AUTHORITY","12243852","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","9935537","N","69.7","GOV/NYC/062","Yes","204","16","0","0","53.7"
"PELHAM PARKWAY","BRONX","PELHAM PARKWAY","BLD 04","INTERVAL",,"39","586","B003900","FEDERAL","NY005010390P","NEW YORK POWER AUTHORITY","12242995","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","1786938","N","1108.63","GOV/NYC/068","Yes","0","0","47.76","525.36","583.27"
"HUGHES APARTMENTS","BROOKLYN","HUGHES APARTMENTS","BLD 01","NONE",,"168","275","K016800","FEDERAL","NY005011680P","NEW YORK POWER AUTHORITY","12243680","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","4241586","N","14075.95","GOV/NYC/068","Yes","90400","4724.3","164","1804","7547.65"
"EAST 173RD STREET-VYSE AVENUE","BRONX","EAST 173RD STREET-VYSE AVENUE","BLD 06","NONE",,"338","778","B033800","FEDERAL","NY005015300P","NEW YORK POWER AUTHORITY","12243118","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","14333819","N","661.17","GOV/NYC/069","Yes","4914","257.44","6.84","73.39","330.34"
"HIGHBRIDGE GARDENS","BRONX","HIGHBRIDGE GARDENS","BLD 03","AMR",,"78","229","B007800","FEDERAL","NY005000780P","NEW YORK POWER AUTHORITY","12243050","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2790131","N","7371.35","GOV/NYC/068","Yes","66800","3490.97","0","0","3880.38"
"FHA REPOSSESSED HOUSES (GROUP IX)","FHA","FHA REPOSSESSED HOUSES (GROUP IX)","182 ADELPHI STREET","NONE",,"283","376","Q028300","FEDERAL","NY005012090P","NEW YORK POWER AUTHORITY","12243848","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","4120003","N","40.87","GOV/NYC/062","Yes","120","9.41","0","0","31.46"
