"site_id","planned_kiosk_type","installation_status_","ppt_id","legacy_id","borough","council_district","cb","final_submission_a_","gf_permit_appl_id","gf_doitt_submitted_to_cb_a","gf_cb_comment_period_ends_a","street_address","cross_street_1","cross_street_2","ixn_code","postcode","zoningnumb","longitude","latitude","greenfield_in_bid_location","bid","historic_district","historic_district_name","neighborhood_tabulation_area_nta","bin","bbl","census_tract","location_1"
"MN-02-GF0915","LINK5G_NonAd","PreCx",,,"Manhattan","3","102","2022-08-09T00:00:00.000","90254","2022-10-18T00:00:00.000",,"445 WEST STREET","WEST STREET","WASHINGTON STREET","S","10014","C6-3","-74.009586","40.7369267","No",,"0",,"West Village","1012047","1006390001","mn-79","(40.7369267, -74.009586)"
"BK-06-GF34899","LINK5G_NonAd","PreCx",,,"Brooklyn","38","306","2022-08-09T00:00:00.000","90408","2023-01-04T00:00:00.000",,"184 CONOVER STREET","WOLCOTT STREET","DIKEMAN STREET","W","11231","M2-1","-74.0142949","40.6781059","No",,"0",,"Carroll Gardens-Columbia Street-Red Hook","3008589","3005740023","bk-53","(40.6781059, -74.0142949)"
"MN-03-107770","LINK5G_Ad","PreCx","107770","20275","Manhattan","1","103","2022-09-23T00:00:00.000","90305","2023-01-04T00:00:00.000",,"263 GRAND STREET","FORSYTH STREET","CHRYSTIE STREET","S","10002","C6-1G","-73.9932899","40.7178925","Yes","Lower East Side BID","0",,"Chinatown","1003957","1003020001","MH16","(40.7178925, -73.9932899)"
"BK-16-158025","LINK1.0","Installed",,,"Brooklyn","42","316","2022-01-28T00:00:00.000","90173","2022-04-08T00:00:00.000",,"508 JUNIUS STREET","JUNIUS STREET","POWELL STREET","S","11212","M1-1","-73.9012035","40.6620465","No",,"0",,"Brownsville","3085323","3038310025","BK-918","(40.6620465, -73.9012035)"
"MN-02-GF0914","LINK5G_NonAd","Planning",,,"Manhattan","3","102","2022-08-09T00:00:00.000","90253","2022-10-18T00:00:00.000",,"771 GREENWICH STREET","BETHUNE STREET","BANK STREET","E","10014","C1-6","-74.0064375","40.7368473","No",,"0","Greenwich Village Historic District","West Village","1011368","1006240001","mn-79","(40.7368473, -74.0064375)"
"QU-12-123858","LINK5G_Ad","Live","123858","65000","Queens","27","412","2021-10-08T00:00:00.000",,,,"115-01 FARMERS BOULEVARD","115th Avenue","115th Road","S","11412","C2-3","-73.7612345","40.6959752","No",,"0",,"St. Albans","4237303","4110320001","4052600","(40.6959752, -73.7612345)"
"BX-05-GF22639","LINK5G_Ad","PreCx",,,"Bronx","14","205","2022-11-17T00:00:00.000","90448","2023-01-04T00:00:00.000",,"132 FEATHERBED LANE","PIMPTON AVENUE","NELSON AVENUE","S","10452","C1-4","-73.9204016","40.8461538","No",,"0",,"University Heights-Morris Heights",,"2028740091","BX-213.01","(40.8461538, -73.9204016)"
"QU-12-124001","LINK5G_Ad","Live","124001","SC90619","Queens","27","412","2021-10-08T00:00:00.000",,,,"201-08 HOLLIS AVENUE","Hollis Avenue","111th Avenue","E","11412","C1-3","-73.7563366","40.706075","No",,"0",,"Hollis","4234180","4109400109","4050800","(40.706075, -73.7563366)"
"BK-01-GF34852","LINK5G_Ad","Planning",,,"Brooklyn","33","301","2022-05-13T00:00:00.000",,,,"432 BROADWAY","BROADWAY","HARRISON AVENUE","E","11211","C8-2","-73.9529817","40.7065604","No",,"0",,,"3060469","3022140016","BK-529","(40.7065604, -73.9529817)"
"QU-12-154602","LINK5G_Ad","Installed",,,"Queens","27","412","2021-10-08T00:00:00.000","90070","2021-10-28T00:00:00.000","2021-12-27T00:00:00.000","169-28 HILLSIDE AVENUE","HILLSIDE AVENUE","88th AVENUE","W","11432","C2-4","-73.7919904","40.7108963","No",,"0",,"Jamaica","4310519","4098250021","QU-460","(40.7108963, -73.7919904)"
