"link_site_id","planned_kiosk_type","link_installation_status","smallest_ppt","cb_link_id","boro","council_district","community_board","street_address","cross_street_1","cross_street_2","ixn_corner","postcode","zoning","latitude","longitude","link_installation","link_smoke_tested_and_activated_a","neighborhood_tabulation_area_nta","building_identification_number_bin","borough_block_lot_bbl","census_tract_ct","location"
"bk-06-145902","LINK1.0","Live","145902","LINK-021518","Brooklyn","39","306","258 14 STREET","5 AVENUE","4 AVENUE","SW","11215","C4-3A","40.666229710000000","-73.989056620000000","2017-07-31T00:00:00.000","2017-08-31T00:00:00.000","Park Slope-Gowanus","3023670","3010410036","3014100","(40.66622971, -73.98905662)"
"mn-03-158821","LINK5G_Ad","Live",,,"Manhattan","1","103","36 RIVINGTON STREET","RIVINGTON STREET","STANTON STREET","NE","10002","C4-4A","40.7211101","-73.9913664","2022-10-18T00:00:00.000","2023-02-03T00:00:00.000",,,,,"(40.7211101, -73.9913664)"
"mn-05-133690","LINK1.0","Live","133690","mn-05-133690","Manhattan","4","105","333 5 AVENUE","EAST 33 STREET","EAST 32 STREET","SE","10016","C5-2","40.747627260000000","-73.985037160000000","2017-08-12T00:00:00.000","2017-10-20T00:00:00.000","Midtown-Midtown South","1017033","1008620071","1007400","(40.74762726, -73.98503716)"
"bk-02-126506","LINK1.0","Live","126506","bk-02-126506","Brooklyn","33","302","339 LIVINGSTON STREET","FLATBUSH AVENUE","NEVINS STREET","NW","11217","C6-4","40.687648980000000","-73.980423550000000","2016-11-13T00:00:00.000","2017-07-26T00:00:00.000","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","3000483","3001620001","3003700","(40.68764898, -73.98042355)"
"mn-07-135865","LINK1.0","Live","135865","mn-07-135865","Manhattan","7","107","2596 BROADWAY","WEST 98 STREET","WEST 97 STREET","SE","10025","C1-5","40.795773800000000","-73.970751900000000","2017-07-18T00:00:00.000","2017-10-10T00:00:00.000","Upper West Side","1056383","1018690044","1018300","(40.7957738, -73.9707519)"
"mn-12-120334","LINK1.0","Live","120334","mn-12-120334","Manhattan","7","112","600 WEST 162 STREET","BROADWAY","FORT WASHINGTON AVENUE","SW","10032","C1-4","40.837241000000000","-73.942876000000000","2017-11-11T00:00:00.000","2018-02-06T00:00:00.000","Washington Heights South","1063354","1021370026","1024500","(40.837241, -73.942876)"
"mn-06-121836","LINK1.0","Live","121836","mn-06-121836","Manhattan","4","106","909 3 AVENUE","EAST 54 STREET","EAST 55 STREET","NE","10022","C6-6","40.758377120000000","-73.968758900000000","2016-02-28T00:00:00.000","2016-03-18T00:00:00.000","Turtle Bay-East Midtown","1038570","1013280001","1010800","(40.75837712, -73.9687589)"
"mn-10-137852","LINK1.0","Live","137852","mn-10-137852","Manhattan","9","110","1995 ADAM CLAYTON POWELL JR. BOULEVARD","WEST 120 STREET","WEST 119 STREET","SE","10026","C1-4","40.805615000000000","-73.950557000000000","2016-12-06T00:00:00.000","2017-01-20T00:00:00.000","Central Harlem South","1057585","1019040061","1022000","(40.805615, -73.950557)"
"mn-09-134111","LINK1.0","Live","134111","mn-09-134111","Manhattan","7","109","1760 AMSTERDAM AVENUE","WEST 148 STREET","WEST 147 STREET","NW","10031","C1-4","40.826707090000000","-73.946664800000000","2018-03-15T00:00:00.000","2018-08-01T00:00:00.000","Hamilton Heights","1061983","1020790029","1023300","(40.82670709, -73.9466648)"
"mn-05-122061","LINK1.0","Live","122061","mn-05-122061","Manhattan","3","105","400 8 AVENUE","WEST 30 STREET","WEST 29 STREET","NE","10001","C6-3X","40.749537000000000","-73.995245000000000","2016-08-11T00:00:00.000","2016-10-14T00:00:00.000","Midtown-Midtown South","1014306","1007790075","1009500","(40.749537, -73.995245)"
"qu-04-111010","LINK1.0","Live","111010","qu-04-111010","Queens","25","404","72-30 ROOSEVELT AVENUE","73 STREET","72 STREET","SW","11377","C2-3","40.746671760000000","-73.892531730000000","2017-07-08T00:00:00.000","2017-08-24T00:00:00.000","Elmhurst-Maspeth","4030419","4013040043","4026500","(40.74667176, -73.89253173)"
"mn-07-138046","LINK1.0","Live","138046","mn-07-138046","Manhattan","6","107","155 WEST 68 STREET","AMSTERDAM AVENUE","BROADWAY","NE","10023","C4-6A","40.775999000000000","-73.983247000000000","2016-07-15T00:00:00.000","2016-07-21T00:00:00.000","Lincoln Square","1028950","1011407501","1015300","(40.775999, -73.983247)"
"mn-12-134849","LINK1.0","Live","134849","mn-12-134849","Manhattan","10","112","1339 ST. NICHOLAS AVENUE","WEST 177 STREET","WEST 176 STREET","SW","10033","C1-4","40.846623330000000","-73.935833330000000","2017-12-06T00:00:00.000","2018-02-07T00:00:00.000","Washington Heights South","1063552","1021440049","1026300","(40.84662333, -73.93583333)"
"si-02-145734","LINK1.0","Live","145734","LINK-018383","Staten Island","50","502","2381 HYLAN BOULEVARD","LOCUST AVENUE","OTIS AVENUE","NW","10306","C1-3","40.572850470000000","-74.107538830000000","2017-02-19T00:00:00.000","2017-02-28T00:00:00.000","New Dorp-Midland Beach","5052790","5036450001","5012200","(40.57285047, -74.10753883)"
"mn-08-121756","LINK1.0","Live","121756","mn-08-121756","Manhattan","4","108","1175 2 AVENUE","EAST 62 STREET","EAST 61 STREET","SW","10065","C2-8","40.762416870000000","-73.963158510000000","2018-01-27T00:00:00.000","2018-04-11T00:00:00.000","Lenox Hill-Roosevelt Island","1043798","1014160028","1011000","(40.76241687, -73.96315851)"
"mn-03-137382","LINK1.0","Live","137382","mn-03-137382","Manhattan","2","103","68 2 AVENUE","EAST 4 STREET","EAST 3 STREET","SE","10003","C2-5","40.726049000000000","-73.989403000000000","2016-09-02T00:00:00.000","2016-09-15T00:00:00.000","East Village","1006168","1004450009","1003800","(40.726049, -73.989403)"
"mn-06-121789","LINK1.0","Live","121789","mn-06-121789","Manhattan","4","106","252 EAST 52 STREET","2 AVENUE","3 AVENUE","SW","10022","C1-9","40.756174150000000","-73.967829080000000","2018-02-03T00:00:00.000","2019-02-04T00:00:00.000","Turtle Bay-East Midtown","1038476","1013250031","1009800","(40.75617415, -73.96782908)"
"mn-09-120354","LINK1.0","Live","120354","mn-09-120354","Manhattan","7","109","600 WEST 149 STREET","BROADWAY","RIVERSIDE DRIVE","SW","10031","C1-4","40.829037130000000","-73.948868910000000","2016-07-15T00:00:00.000","2016-07-21T00:00:00.000","Hamilton Heights","1062439","1020950033","1023300","(40.82903713, -73.94886891)"
"bx-02-106058","LINK5G_Ad","Live","106058","LINK-012171","Bronx","17","202","700 FAILE STREET","SPOFFORD AVENUE","FAILE STREET","NW","10474","R6","40.8147397","-73.886191","2022-06-16T00:00:00.000","2022-07-20T00:00:00.000","Hunts Point","2006511","2027630106","2009300","(40.8147397, -73.886191)"
"mn-08-120983","LINK1.0","Live","120983","mn-08-120983","Manhattan","4","108","1175 3 AVENUE","EAST 69 STREET","EAST 68 STREET","SE","10065","C1-9","40.767655000000000","-73.961971000000000","2016-02-27T00:00:00.000","2016-03-29T00:00:00.000","Lenox Hill-Roosevelt Island","1043902","1014237501","1011800","(40.767655, -73.961971)"
"bk-05-114742","LINK1.0","Live","114742","bk-05-114742","Brooklyn","37","305","3418 FULTON STREET","LINCOLN AVENUE","AUTUMN AVENUE","SE","11208","C1-2","40.684317000000000","-73.869636000000000","2017-09-23T00:00:00.000","2018-03-12T00:00:00.000","Cypress Hills-City Line","3092916","3041490028","3118400","(40.684317, -73.869636)"
"qu-02-145742","LINK1.0","Live","145742","LINK-018148","Queens","26","402","65-10 QUEENS BOULEVARD","65 PLACE","65 STREET","SW","11377","C2-3","40.740727000000000","-73.899864000000000","2017-02-25T00:00:00.000","2017-03-20T00:00:00.000","Woodside","4437388","4023920023","4024500","(40.740727, -73.899864)"
"mn-07-120526","LINK1.0","Live","120526","mn-07-120526","Manhattan","7","107","755 AMSTERDAM AVENUE","WEST 97 STREET","WEST 96 STREET","SE","10025","C2-8","40.794604000000000","-73.969837000000000","2016-08-01T00:00:00.000","2016-10-07T00:00:00.000","Upper West Side","1079453","1018510008","1018100","(40.794604, -73.969837)"
"mn-07-109544","LINK1.0","Live","109544","mn-07-109544","Manhattan","6","107","2150 BROADWAY","WEST 76 STREET","WEST 75 STREET","SE","10023","C4-6A","40.781474000000000","-73.980961000000000","2016-04-06T00:00:00.000","2016-05-26T00:00:00.000","Upper West Side","1088786","1011677502","1016300","(40.781474, -73.980961)"
"mn-04-144139","LINK1.0","Live","144139","mn-04-144139","Manhattan","3","104","989 8 AVENUE","WEST 57 STREET","WEST 58 STREET","SW","10019","C6-6","40.767357590000000","-73.982563540000000","2016-07-20T00:00:00.000","2016-08-03T00:00:00.000","Clinton","1026054","1010480033","1013900","(40.76735759, -73.98256354)"
"bk-03-126647","LINK1.0","Live","126647","bk-03-126647","Brooklyn","41","303","1961 FULTON STREET","SARATOGA AVENUE","HULL STREET","NW","11233","C2-4","40.678654000000000","-73.916507000000000","2016-11-11T00:00:00.000","2017-02-24T00:00:00.000","Stuyvesant Heights","3041785","3015360001","3037900","(40.678654, -73.916507)"
"si-02-146099","LINK1.0","Live","146099","LINK-005418","Staten Island","50","502","2154 HYLAN BOULEVARD","ZWICKY AVENUE","MIDLAND AVENUE","SE","10306","C2-1","40.577390830000000","-74.102670540000000","2018-06-29T00:00:00.000","2018-07-19T00:00:00.000","New Dorp-Midland Beach","5053558","5036910011","5011202","(40.57739083, -74.10267054)"
"mn-09-111652","LINK1.0","Live","111652","mn-09-111652","Manhattan","7","109","3480 BROADWAY","WEST 142 STREET","WEST 143 STREET","NE","10031","C1-4","40.824559000000000","-73.951597000000000","2016-05-27T00:00:00.000","2016-10-06T00:00:00.000","Hamilton Heights","1061843","1020740001","1022900","(40.824559, -73.951597)"
"qu-12-141541","LINK1.0","Live","141541","qu-12-141541","Queens","27","412","163-02 JAMAICA AVENUE","163 STREET","GUY R BREWER BOULEVARD","SE","11433","C6-3","40.704609110000000","-73.796800560000000","2016-08-27T00:00:00.000","2016-09-23T00:00:00.000","Jamaica","4216196","4101510001","4044601","(40.70460911, -73.79680056)"
"mn-11-137841","LINK1.0","Live","137841","mn-11-137841","Manhattan","8","111","2239 3 AVENUE","EAST 122 STREET","EAST 121 STREET","SE","10035","C4-4D","40.801540180000000","-73.937249000000000","2016-02-27T00:00:00.000","2016-03-31T00:00:00.000","East Harlem North","1054622","1017860047","1019400","(40.80154018, -73.937249)"
"si-01-153319","LINK1.0","Live",,,"Staten Island","49","501","455 FRONT STREET","WATER STREET","CANAL STREET","MIDBLOCK","10304","C4-2","40.6271925","-74.0741115","2022-10-25T00:00:00.000","2023-02-07T00:00:00.000","Stapleton-Rosebank",,"5004870005",,"(40.6271925, -74.0741115)"
"qu-01-143435","LINK1.0","Live","143435","qu-01-143435","Queens","22","401","41-01 BROADWAY","41 STREET","42 STREET","NE","11103","C2-4","40.758591250000000","-73.918015610000000","2017-05-12T00:00:00.000","2017-07-10T00:00:00.000","Astoria","4011161","4006790007","4015500","(40.75859125, -73.91801561)"
"qu-12-118455","LINK5G_Ad","Live","118455","LINK-014515","Queens","28","412","146-64 LIBERTY AVENUE","Sutphin Boulevard","Waltham Street",,"11435","C4-5X","40.6959629","-73.8045508","2023-02-09T00:00:00.000","2023-04-25T00:00:00.000","Jamaica","4000000","4100300025","4020800","(40.6959629, -73.8045508)"
"bx-07-119707","LINK1.0","Live","119707","LINK-012880","Bronx","11","207","3159 BAINBRIDGE AVENUE","ROCHAMBEAU AVENUE","BAINBRIDGE AVENUE","SW","10467","C1-4","40.8749145","-73.8796393","2021-11-30T00:00:00.000","2022-03-31T00:00:00.000","Norwood","2017999","2033350065","2041900","(40.8749145, -73.8796393)"
"mn-10-119961","LINK1.0","Live","119961","mn-10-119961","Manhattan","9","110","2010 ADAM CLAYTON POWELL JR. BOULEVARD","WEST 120 STREET","WEST 121 STREET","NW","10027","C2-4","40.805950280000000","-73.950754280000000","2016-10-22T00:00:00.000","2017-01-09T00:00:00.000","Central Harlem South","1079502","1019260029","1022000","(40.80595028, -73.95075428)"
"mn-06-135679","LINK1.0","Live","135679","mn-06-135679","Manhattan","2","106","384 2 AVENUE","EAST 22 STREET","EAST 23 STREET","NE","10010","C1-9A","40.737373060000000","-73.981158590000000","2017-09-28T00:00:00.000","2018-01-03T00:00:00.000","Gramercy","1020569","1009280001","1006400","(40.73737306, -73.98115859)"
"bx-01-146044","LINK1.0","Live","146044","LINK-020576","Bronx","17","201","3125 3 AVENUE","EAST 159 STREET","EAST 158 STREET","SW","10451","C1-4","40.822022190000000","-73.911952540000000","2018-01-14T00:00:00.000","2018-04-19T00:00:00.000","Melrose South-Mott Haven North","2000000","2023800051","2006900","(40.82202219, -73.91195254)"
"qu-01-108373","LINK1.0","Live","108373","qu-01-108373","Queens","22","401","29-01 BROADWAY","30 STREET","29 AVENUE","NE","11106","C1-4","40.762720000000000","-73.926808000000000","2017-05-06T00:00:00.000","2017-05-23T00:00:00.000","Astoria","4007473","4005880008","4007500","(40.76272, -73.926808)"
"mn-07-121295","LINK1.0","Live","121295","mn-07-121295","Manhattan","6","107","2431 BROADWAY","WEST 90 STREET","WEST 89 STREET","SW","10024","C4-6A","40.790818000000000","-73.974810000000000","2016-05-27T00:00:00.000","2016-06-27T00:00:00.000","Upper West Side","1033386","1012377502","1017500","(40.790818, -73.97481)"
"mn-05-122627","LINK1.0","Live","122627","mn-05-122627","Manhattan","3","105","932 8 AVENUE","WEST 55 STREET","WEST 56 STREET","NE","10019","C6-4","40.765522000000000","-73.983593000000000","2016-03-18T00:00:00.000","2016-04-07T00:00:00.000","Midtown-Midtown South","1024868","1010270002","1013700","(40.765522, -73.983593)"
"mn-05-135169","LINK1.0","Live","135169","mn-05-135169","Manhattan","3","105","552 7 AVENUE","WEST 40 STREET","WEST 39 STREET","SW","10018","M1-6","40.754593250000000","-73.988136780000000","2017-08-19T00:00:00.000","2018-02-15T00:00:00.000","Midtown-Midtown South","1014502","1007890040","1011300","(40.75459325, -73.98813678)"
"bx-01-144251","LINK1.0","Live","144251","bx-01-144251","Bronx","17","201","3097 3 AVENUE","EAST 158 STREET","EAST 157 STREET","SW","10451","C1-4","40.821437000000000","-73.912327000000000","2017-03-18T00:00:00.000","2017-05-22T00:00:00.000","Melrose South-Mott Haven North","2001451","2023790051","2006900","(40.821437, -73.912327)"
"mn-03-137173","LINK1.0","Live","137173","mn-03-137173","Manhattan","1","103","145 ORCHARD STREET","RIVINGTON STREET","STANTON STREET","NW","10002","C4-4A","40.720485540000000","-73.989083230000000","2016-11-17T00:00:00.000","2016-12-28T00:00:00.000","Chinatown","1005535","1004160068","1003001","(40.72048554, -73.98908323)"
"mn-06-121816","LINK1.0","Live","121816","mn-06-121816","Manhattan","4","106","754 3 AVENUE","EAST 47 STREET","EAST 46 STREET","SW","10017","C5-3","40.753899000000000","-73.972326000000000","2016-02-07T00:00:00.000","2016-02-22T00:00:00.000","Turtle Bay-East Midtown","1036207","1013010033","1009200","(40.753899, -73.972326)"
"bk-09-153434","LINK1.0","Live","153434",,"Brooklyn","35","309","1578 UNION STREET","UNION STREET","PRESIDENT STREET","SW","11213","C1-3","40.6679423","-73.9368437","2022-07-23T00:00:00.000","2022-11-29T00:00:00.000","Crown Heights South","3037671","3014000042","335","(40.6679423, -73.9368437)"
"qu-04-137921","LINK1.0","Live","137921","qu-04-137921","Queens","25","404","75-20 ROOSEVELT AVENUE","76 STREET","75 STREET","SW","11372","C2-3","40.746966380000000","-73.889705450000000","2017-07-08T00:00:00.000","2017-08-30T00:00:00.000","Elmhurst","4036735","4014860031","4026700","(40.74696638, -73.88970545)"
"mn-05-133695","LINK1.0","Live","133695","mn-05-133695","Manhattan","2","105","233 5 AVENUE","EAST 27 STREET","EAST 28 STREET","NE","10016","C5-2","40.744174680000000","-73.987548940000000","2017-08-12T00:00:00.000","2018-04-04T00:00:00.000","Hudson Yards-Chelsea-Flatiron-Union Square","1016882","1008570001","1005600","(40.74417468, -73.98754894)"
"qu-02-145981","LINK1.0","Live","145981","LINK-021680","Queens","26","402","43-01 48 AVENUE","43 STREET","44 STREET","NE","11377","C1-3","40.739680250000000","-73.922069660000000","2017-10-14T00:00:00.000","2018-03-15T00:00:00.000","Hunters Point-Sunnyside-West Maspeth","4002100","4001730001","4018502","(40.73968025, -73.92206966)"
"mn-07-134708","LINK1.0","Live","134708","mn-07-134708","Manhattan","6","107","730 COLUMBUS AVENUE","WEST 95 STREET","WEST 96 STREET","NW","10025","C1-9","40.792378630000000","-73.968009530000000","2018-01-26T00:00:00.000","2018-05-31T00:00:00.000","Upper West Side","1082743","1012260029","1018100","(40.79237863, -73.96800953)"
"mn-01-123076","LINK1.0","Live","123076","mn-01-123076","Manhattan","1","101","110 MAIDEN LANE","WATER STREET","PEARL STREET","SW","10005","C5-5","40.706241850000000","-74.006243510000000","2017-11-04T00:00:00.000","2018-02-09T00:00:00.000","Battery Park City-Lower Manhattan","1000880","1000390012","1000700","(40.70624185, -74.00624351)"
"qu-03-125337","LINK1.0","Live","125337","qu-03-125337","Queens","21","403","82-03 ROOSEVELT AVENUE","82 STREET","83 STREET","NE","11372","C4-3","40.747728780000000","-73.883664750000000","2017-07-08T00:00:00.000","2017-09-07T00:00:00.000","Jackson Heights","4036213","4014700045","4028300","(40.74772878, -73.88366475)"
"mn-06-134611","LINK1.0","Live","134611","mn-06-134611","Manhattan","2","106","481 2 AVENUE","EAST 27 STREET","EAST 28 STREET","NW","10016","C1-8A","40.740611560000000","-73.979078850000000","2018-04-23T00:00:00.000","2019-01-17T00:00:00.000","Murray Hill-Kips Bay","1019879","1009080027","1006600","(40.74061156, -73.97907885)"
"mn-06-121424","LINK1.0","Live","121424","mn-06-121424","Manhattan","4","106","681 2 AVENUE","EAST 37 STREET","EAST 36 STREET","SW","10016","C1-9","40.746651320000000","-73.974685740000000","2018-03-18T00:00:00.000","2018-05-17T00:00:00.000","Murray Hill-Kips Bay","1020193","1009170034","1007800","(40.74665132, -73.97468574)"
"qu-09-145885","LINK1.0","Live","145885","LINK-021381","Queens","30","409","76-23 JAMAICA AVENUE","77 STREET","76 STREET","NW","11421","C2-4","40.691733790000000","-73.865014780000000","2017-07-15T00:00:00.000","2017-09-25T00:00:00.000","Woodhaven","4181011","4088400149","4000200","(40.69173379, -73.86501478)"
"bx-06-119558","LINK1.0","Installed","119558","bx-06-119558","Bronx","17","206","1965 HUGHES AVENUE","EAST TREMONT AVENUE","EAST 178 STREET","NW","10457","C4-5X","40.846189760000000","-73.892194330000000","2018-05-02T00:00:00.000","2018-07-13T00:00:00.000","East Tremont","2011992","2030680098","2037300","(40.84618976, -73.89219433)"
"bk-09-126569","LINK1.0","Live","126569","bk-09-126569","Brooklyn","40","309","535 FLATBUSH AVENUE","LINCOLN ROAD","BEEKMAN PLACE","SE","11225","C1-3","40.660852000000000","-73.960581000000000","2017-02-17T00:00:00.000","2017-03-07T00:00:00.000","Prospect Lefferts Gardens-Wingate","3114678","3050280006","3079801","(40.660852, -73.960581)"
"mn-05-139462","LINK1.0","Live","139462","mn-05-139462","Manhattan","3","105","828 8 AVENUE","WEST 50 STREET","WEST 49 STREET","SE","10019","C6-4","40.762151000000000","-73.986052000000000","2016-03-06T00:00:00.000","2016-04-06T00:00:00.000","Midtown-Midtown South","1085498","1010210001","1012500","(40.762151, -73.986052)"
"bk-01-108703","LINK1.0","Live","108703","bk-01-108703","Brooklyn","34","301","213 UNION AVENUE","SOUTH 5 STREET","SOUTH 4 STREET","SW","11211","C8-2","40.706822170000000","-73.950528950000000","2017-12-19T00:00:00.000","2018-02-14T00:00:00.000","North Side-South Side","3063527","3024520019","3052700","(40.70682217, -73.95052895)"
"mn-07-120393","LINK1.0","Removed Pending Reinstall","120393","mn-07-120393","Manhattan","7","107","216 WEST 103 STREET","BROADWAY","AMSTERDAM AVENUE","SE","10025","C1-5","40.798954000000000","-73.968326000000000","2016-06-17T00:00:00.000","2016-07-07T00:00:00.000","Upper West Side","1056545","1018740043","1019100","(40.798954, -73.968326)"
"mn-05-121567","LINK1.0","Live","121567","mn-05-121567","Manhattan","2","105","101 EAST 31 STREET","PARK AVENUE","LEXINGTON AVENUE","NE","10016","C6-4A","40.745142340000000","-73.982506330000000","2017-06-30T00:00:00.000","2017-08-03T00:00:00.000","Murray Hill-Kips Bay","1018457","1008870001","1007200","(40.74514234, -73.98250633)"
"mn-02-123600","LINK1.0","Live","123600","mn-02-123600","Manhattan","3","102","1 ST. LUKE'S PLACE","HUDSON STREET","7 AVENUE","NE","10014","C1-6","40.730257690000000","-74.006628550000000","2016-11-13T00:00:00.000","2017-01-26T00:00:00.000","West Village","1009773","1005830001","1006700","(40.73025769, -74.00662855)"
"mn-04-122426","LINK1.0","Live","122426","mn-04-122426","Manhattan","3","104","545 6 AVENUE","WEST 15 STREET","WEST 14 STREET","SW","10011","C6-2A","40.737886450000000","-73.996604100000000","2018-05-12T00:00:00.000","2019-01-17T00:00:00.000","Hudson Yards-Chelsea-Flatiron-Union Square","1014529","1007900039","1008100","(40.73788645, -73.9966041)"
"qu-02-142875","LINK1.0","Live","142875","qu-02-142875","Queens","26","402","37-02 QUEENS BOULEVARD","37 STREET","38 STREET","SE","11101","M1-4","40.743976000000000","-73.927772000000000","2017-06-24T00:00:00.000","2017-07-18T00:00:00.000","Hunters Point-Sunnyside-West Maspeth","4003178","4002240022","4017900","(40.743976, -73.927772)"
"mn-07-134112","LINK1.0","Live","134112","mn-07-134112","Manhattan","7","107","2736 BROADWAY","WEST 105 STREET","WEST 104 STREET","SE","10025","C1-5","40.800300250000000","-73.967832870000000","2017-08-25T00:00:00.000","2017-10-03T00:00:00.000","Upper West Side","1056600","1018760046","1019100","(40.80030025, -73.96783287)"
"qu-09-124777","LINK1.0","Live","124777","qu-09-124777","Queens","29","409","86-43 LEFFERTS BOULEVARD","JAMAICA AVENUE","BABBAGE STREET","NE","11418","C2-2","40.700158650000000","-73.830913700000000","2017-05-12T00:00:00.000","2017-06-06T00:00:00.000","Richmond Hill","4193694","4092730079","4014400","(40.70015865, -73.8309137)"
"qu-09-108790","LINK1.0","Live","108790","qu-09-108790","Queens","29","409","124-05 JAMAICA AVENUE","124 STREET","125 STREET","NE","11418","C2-4","40.700926430000000","-73.826204880000000","2017-05-06T00:00:00.000","2017-06-06T00:00:00.000","Richmond Hill","4193857","4092780079","4014201","(40.70092643, -73.82620488)"
"bk-02-145752","LINK1.0","Live","145752","LINK-018062","Brooklyn","35","302","710 FULTON STREET","HANSON PLACE","SOUTH PORTLAND AVENUE","MIDBLOCK","11217","C2-4","40.685787000000000","-73.973320000000000","2017-03-02T00:00:00.000","2017-03-24T00:00:00.000","Fort Greene","3059289","3021150010","3018100","(40.685787, -73.97332)"
"mn-10-119898","LINK1.0","Live","119898","mn-10-119898","Manhattan","9","110","2690 FREDERICK DOUGLASS BOULEVARD","WEST 143 STREET","WEST 144 STREET","NE","10030","C1-4","40.821595510000000","-73.942699300000000","2017-01-25T00:00:00.000","2017-02-22T00:00:00.000","Central Harlem North-Polo Grounds","1060431","1020290001","1023200","(40.82159551, -73.9426993)"
"mn-10-119948","LINK1.0","Live","119948","mn-10-119948","Manhattan","9","110","2340 ADAM CLAYTON POWELL JR. BOULEVARD","WEST 137 STREET","WEST 138 STREET","NW","10030","C1-4","40.816779950000000","-73.942842490000000","2016-11-05T00:00:00.000","2017-01-09T00:00:00.000","Central Harlem North-Polo Grounds","1060220","1020230028","1022800","(40.81677995, -73.94284249)"
"mn-06-136202","LINK1.0","Live","136202","mn-06-136202","Manhattan","4","106","160 EAST 38 STREET","3 AVENUE","LEXINGTON AVENUE","SW","10016","C1-9","40.748287040000000","-73.976534680000000","2016-02-06T00:00:00.000","2016-03-18T00:00:00.000","Murray Hill-Kips Bay","1019099","1008930041","1008000","(40.74828704, -73.97653468)"
"mn-12-120664","LINK1.0","Live","120664","mn-12-120664","Manhattan","10","112","1540 ST. NICHOLAS AVENUE","WEST 187 STREET","WEST 188 STREET","NE","10040","C1-4","40.853121810000000","-73.930817600000000","2017-12-01T00:00:00.000","2018-02-06T00:00:00.000","Washington Heights North","1063806","1021580001","1026900","(40.85312181, -73.9308176)"
"bx-07-119713","LINK1.0","Live","119713","LINK-012895","Bronx","11","207","319 EAST 204 STREET","PERRY AVENUE","HULL AVENUE","NE","10467","C1-4","40.8725809","-73.8780848","2021-11-19T00:00:00.000","2022-04-06T00:00:00.000","Norwood","2097326","2033450001","2042500","(40.8725809, -73.8780848)"
"bx-01-146054","LINK1.0","Live","146054","LINK-020497","Bronx","8","201","601 EAST 138 STREET","ST ANN'S AVENUE","CYPRESS AVENUE","MIDBLOCK","10454","C1-4","40.806384850000000","-73.916245350000000","2018-02-12T00:00:00.000","2018-07-11T00:00:00.000","Mott Haven-Port Morris","2003635","2025510065","2002702","(40.80638485, -73.91624535)"
"qu-03-125413","LINK1.0","Live","125413","SC90532","Queens","25","403","84-02 NORTHERN BOULEVARD","Northern Boulevard","34th Avenue","SE","11372","C1-2","40.7555251","-73.8834031","2022-11-12T00:00:00.000","2023-01-11T00:00:00.000","Jackson Heights","4035173","4014320001",,"(40.7555251, -73.8834031)"
"mn-07-120610","LINK1.0","Live","120610","mn-07-120610","Manhattan","6","107","718 AMSTERDAM AVENUE","WEST 95 STREET","WEST 94 STREET","SW","10025","C2-8","40.793310000000000","-73.971044660000000","2016-08-05T00:00:00.000","2016-10-10T00:00:00.000","Upper West Side","1033681","1012420036","1018300","(40.79331, -73.97104466)"
"si-01-159857","LINK5G_Ad","Live",,,"Staten Island","50","501","1910 VICTORY BOULEVARD","VICTORY BOULEVARD","PURDY AVENUE","SE","10314","C2-1","40.6125409","-74.1277241","2022-10-12T00:00:00.000","2023-02-16T00:00:00.000","Westerleigh",,"5007160001",,"(40.6125409, -74.1277241)"
"qu-01-125163","LINK1.0","Live","125163","qu-01-125163","Queens","22","401","33-10 ASTORIA BOULEVARD SOUTH","33 STREET","34 STREET","SE","11103","C4-3","40.769706980000000","-73.916673160000000","2018-03-09T00:00:00.000","2018-06-12T00:00:00.000","Astoria","4009294","4006310026","4006501","(40.76970698, -73.91667316)"
"bx-04-119159","LINK1.0","Live","119159","bx-04-119159","Bronx","8","204","72 EAST 161 STREET","GERARD AVENUE","RIVER AVENUE","SW","10451","C6-3D","40.827355930000000","-73.925222520000000","2016-07-01T00:00:00.000","2016-07-19T00:00:00.000","West Concourse","2002983","2024830045","2006300","(40.82735593, -73.92522252)"
"mn-06-121489","LINK1.0","Live","121489","mn-06-121489","Manhattan","2","106","172 EAST 24 STREET","3 AVENUE","LEXINGTON AVENUE","SW","10010","C2-8A","40.739531000000000","-73.982889000000000","2016-04-30T00:00:00.000","2016-05-17T00:00:00.000","Gramercy","1018053","1008790044","1006800","(40.739531, -73.982889)"
"bk-06-145873","LINK1.0","Live","145873","LINK-021516","Brooklyn","39","306","482 5 AVENUE","11 STREET","12 STREET","SW","11215","C4-3A","40.667873000000000","-73.987509000000000","2017-07-20T00:00:00.000","2017-08-22T00:00:00.000","Park Slope-Gowanus","3022889","3010220046","3013900","(40.667873, -73.987509)"
"mn-07-121161","LINK1.0","Live","121161","mn-07-121161","Manhattan","6","107","338 COLUMBUS AVENUE","WEST 76 STREET","WEST 77 STREET","NW","10024","C1-8A","40.780147610000000","-73.976932160000000","2018-02-09T00:00:00.000","2018-06-05T00:00:00.000","Upper West Side","1030178","1011480014","1016100","(40.78014761, -73.97693216)"
"mn-01-137026","LINK1.0","Live","137026","mn-01-137026","Manhattan","1","101","195 HUDSON STREET","DESBROSSES STREET","VESTRY STREET","SW","10013","C6-2A","40.723117590000000","-74.008138780000000","2017-08-05T00:00:00.000","2017-11-15T00:00:00.000","SoHo-TriBeCa-Civic Center-Little Italy","1002857","1002227502","1003900","(40.72311759, -74.00813878)"
