"link_site_id","planned_kiosk_type","link_installation_status","smallest_ppt","cb_link_id","boro","council_district","community_board","street_address","cross_street_1","cross_street_2","ixn_corner","postcode","zoning","latitude","longitude","link_installation","link_smoke_tested_and_activated_a","neighborhood_tabulation_area_nta","building_identification_number_bin","borough_block_lot_bbl","census_tract_ct","location"
"mn-07-145539","LINK1.0","Live","145539","mn-07-145539","Manhattan","6","107","625 COLUMBUS AVENUE","WEST 90 STREET","WEST 91 STREET","NE","10024","C1-9","40.789182470000000","-73.970075350000000","2018-02-14T00:00:00.000","2018-06-05T00:00:00.000","Upper West Side","1031595","1012040001","1017700","(40.78918247, -73.97007535)"
"mn-06-121780","LINK1.0","Live","121780","mn-06-121780","Manhattan","4","106","1043 2 AVENUE","EAST 55 STREET","EAST 54 STREET","SW","10022","C1-9","40.757974900000000","-73.966421360000000","2017-10-07T00:00:00.000","2017-12-15T00:00:00.000","Turtle Bay-East Midtown","1038575","1013280021","1010800","(40.7579749, -73.96642136)"
"mn-05-121570","LINK1.0","Live","121570","mn-05-121570","Manhattan","2","105","101 EAST 29 STREET","PARK AVENUE","LEXINGTON AVENUE","NE","10016","C6-4A","40.743891210000000","-73.983370040000000","2017-10-06T00:00:00.000","2018-04-24T00:00:00.000","Murray Hill-Kips Bay","1018238","1008850001","1007200","(40.74389121, -73.98337004)"
"mn-06-121857","LINK1.0","Live","121857","mn-06-121857","Manhattan","4","106","953 3 AVENUE","EAST 57 STREET","EAST 58 STREET","NE","10022","C5-2","40.760347130000000","-73.967305670000000","2016-06-04T00:00:00.000","2018-02-24T00:00:00.000","Turtle Bay-East Midtown","1089950","1013310001","1010800","(40.76034713, -73.96730567)"
"mn-06-121360","LINK1.0","Live","121360","mn-06-121360","Manhattan","4","106","200 EAST 40 STREET","3 AVENUE","QUEENS MIDTOWN TUNNEL EXIT","SE","10016","C5-3","40.749341120000000","-73.975186420000000","2016-09-17T00:00:00.000","2016-10-26T00:00:00.000","Turtle Bay-East Midtown","1082153","1009200012","1008800","(40.74934112, -73.97518642)"
"mn-09-136457","LINK1.0","Live","136457","mn-09-136457","Manhattan","7","109","1780 AMSTERDAM AVENUE","WEST 149 STREET","WEST 148 STREET","NW","10031","C1-4","40.827304940000000","-73.946225930000000","2018-03-15T00:00:00.000","2018-04-26T00:00:00.000","Hamilton Heights","1062033","1020800030","1023300","(40.82730494, -73.94622593)"
"mn-08-119832","LINK1.0","Live","119832","mn-08-119832","Manhattan","5","108","1644 3 AVENUE","EAST 92 STREET","EAST 93 STREET","NW","10128","C1-9","40.782765620000000","-73.951257290000000","2016-02-22T00:00:00.000","2016-03-23T00:00:00.000","Upper East Side-Carnegie Hill","1048352","1015210033","1015801","(40.78276562, -73.95125729)"
"mn-10-134720","LINK1.0","Live","134720","mn-10-134720","Manhattan","9","110","2534 ADAM CLAYTON POWELL JR. BOULEVARD","WEST 147 STREET","WEST 146 STREET","SW","10039","C1-4","40.822902250000000","-73.938364550000000","2017-08-19T00:00:00.000","2017-09-21T00:00:00.000","Central Harlem North-Polo Grounds","1084143","1020320034","1023400","(40.82290225, -73.93836455)"
"mn-07-122843","LINK1.0","Live","122843","mn-07-122843","Manhattan","3","107","8 WEST 61 STREET","BROADWAY","CENTRAL PARK WEST","SE","10023","C6-6","40.769565740000000","-73.981841150000000","2016-04-30T00:00:00.000","2016-09-30T00:00:00.000","Lincoln Square","1027191","1011137502","1014500","(40.76956574, -73.98184115)"
"bk-17-145927","LINK1.0","Live","145927","LINK-022138","Brooklyn","40","317","3121 CHURCH AVENUE","RALEIGH PLACE","FAIRVIEW PLACE","NW","11226","C1-2","40.650962000000000","-73.947834000000000","2017-09-17T00:00:00.000","2017-10-30T00:00:00.000","Erasmus","3327743","3048690053","3081800","(40.650962, -73.947834)"
"bk-14-126509","LINK1.0","Live","126509","bk-14-126509","Brooklyn","45","314","1591 FLATBUSH AVENUE","EAST 31 STREET","FLATBUSH AVENUE","NE","11210","C4-4A","40.632134780000000","-73.946780670000000","2018-03-04T00:00:00.000","2018-06-18T00:00:00.000","Flatbush","3205905","3075580027","3078600","(40.63213478, -73.94678067)"
"mn-06-137127","LINK1.0","Live","137127","mn-06-137127","Manhattan","4","106","400 EAST 50 STREET","1 AVENUE","BEEKMAN PLACE","SE","10022","C1-5","40.753751060000000","-73.965970250000000","2018-05-07T00:00:00.000","2019-01-25T00:00:00.000","Turtle Bay-East Midtown","1040090","1013610049","1008603","(40.75375106, -73.96597025)"
"mn-05-122858","LINK1.0","Live","122858","mn-05-122858","Manhattan","4","105","2 WEST 57 STREET","5 AVENUE","6 AVENUE","SW","10019","C5-3","40.762987450000000","-73.974253950000000","2017-06-10T00:00:00.000","2017-07-12T00:00:00.000","Midtown-Midtown South","1035053","1012727503","1011201","(40.76298745, -73.97425395)"
"bx-01-146046","LINK1.0","Live","146046","LINK-020604","Bronx","8","201","301 MORRIS AVENUE","EAST 139 STREET","EAST 140 STREET","MIDBLOCK","10451","M1-4/R7A","40.812557480000000","-73.926243620000000","2018-01-14T00:00:00.000","2018-07-02T00:00:00.000","Mott Haven-Port Morris","2000956","2023330054","2005100","(40.81255748, -73.92624362)"
"mn-10-120049","LINK1.0","Live","120049","mn-10-120049","Manhattan","9","110","166 WEST 125 STREET","ADAM CLAYTON POWELL JR BOULEVARD","LENOX AVENUE","SE","10027","C6-3","40.808793090000000","-73.948124640000000","2016-11-14T00:00:00.000","2017-01-09T00:00:00.000","Central Harlem South","1057837","1019090063","1022200","(40.80879309, -73.94812464)"
"mn-07-120273","LINK1.0","Live","120273","mn-07-120273","Manhattan","6","107","240 WEST 102 STREET","BROADWAY","WEST END AVENUE","SW","10025","C1-5","40.798538000000000","-73.969278860000000","2016-07-20T00:00:00.000","2016-08-04T00:00:00.000","Upper West Side","1056518","1018730052","1018700","(40.798538, -73.96927886)"
"bk-01-145892","LINK1.0","Live","145892","LINK-020774","Brooklyn","34","301","145 MONTROSE AVENUE","MANHATTAN AVENUE","GRAHAM AVENUE","NW","11206","C1-3","40.707379000000000","-73.943399000000000","2017-07-27T00:00:00.000","2018-01-05T00:00:00.000","East Williamsburg","3071122","3030520026","3050500","(40.707379, -73.943399)"
