lng,lat
-74.7239407541848,39.09781054481457
-74.73509460471755,39.1108805127463
-74.7801368062958,39.12960879525962
-74.77052428323877,39.12989784000282
-74.77025326408739,39.130933626772894
-74.77604510608639,39.131730057504356
-74.69714297849397,39.15868344904346
-74.93150177403396,38.935221018313946
-74.91001608323512,38.947207244846155
-74.90916861251722,38.94964579017338
-74.90711923800876,38.95161074890609
-74.90116842191051,38.95519546961895
-74.88445528058028,38.956803126489135
-74.90370584420991,38.9573888919905
-74.92091092300491,38.97003039019628
-74.94283617128082,38.977003311036164
-74.94200838416127,38.98133366791301
-74.94154437324397,38.98307390305843
-74.82758707814055,38.98688986120457
-74.82884492110199,38.987284470055805
-74.8322606554839,38.98773958209124
-74.93591831016964,38.99446814801588
-74.94080752653849,39.00610855831124
-74.7937723936323,39.01054466468081
-74.87358259398933,39.01324893961359
-74.8754682925794,39.014431828364124
-74.87512338659214,39.01576740849763
-74.90137849192664,39.04596087840023
-74.76653100854612,39.058079837111876
-74.86691027767262,39.0630929081467
-74.75466889266129,39.06355438532306
-74.75214672060608,39.06464684860027
-74.82704655229838,39.07653963270115
-74.81187703072148,39.08356924565971
-74.81917315552016,39.08745127599789
-74.66269373648714,39.25072457136392
-74.61189981727995,39.2519294176522
-74.62855057576233,39.254290931044366
-74.64915357926984,39.26362282624804
-74.57753075696806,39.280095480909715
-74.5793404490435,39.28091481783457
-74.96854255580438,39.289609504474065
-74.75533605094448,39.303089185801454
-74.59781343393755,39.3082950626145
-74.60027923564189,39.30997058572506
-74.53829845740285,39.31329956530637
-74.59105572446003,39.313657397297604
-74.60379813351955,39.318621929530735
-74.60923823296228,39.318625188763605
-74.51803742773905,39.325452099082746
-74.59478480966567,39.32945312655513
-74.49860856685679,39.330518597603174
-74.59219192698345,39.33103672424108
-74.49622562991078,39.33165251403046
-75.20042510717553,39.33222495122848
-74.73285506653428,39.17676978435199
-74.7234978034215,39.180662367915346
-74.83274606522527,39.193350548623044
-74.704201375893,39.209113528234084
-74.79146776795369,39.221151894935204
-74.78400465397064,39.23320211619218
-75.03363143886487,39.23247699449342
-74.80363314237806,39.2345529235739
-74.76525303494287,39.23950383721596
-74.81811045212885,39.23965976967726
-74.95165459098092,39.2419532114916
-74.4368401711842,39.35912793623726
-74.41892593370417,39.35913880113611
-74.61857388964184,39.36268424241883
-74.5648786065854,39.36332512113958
-74.92998306850413,39.363487870072085
-74.47028911960032,39.3655716458868
