"dispatching_base_num","pickup_datetime","dropoff_datetime","pulocationid","dolocationid","sr_flag"
"B02914","2017-10-15T02:11:31.000","2017-10-15 02:37:36",,,
"B02888","2017-10-15T02:46:21.000","2017-10-15 02:56:13","61","177",
"B02888","2017-10-15T02:34:39.000","2017-10-15 02:40:23","107","137",
"B02888","2017-10-15T02:43:28.000","2017-10-15 03:05:10","170","197",
"B02888","2017-10-15T02:09:04.000","2017-10-15 02:16:09","79","79",
"B02888","2017-10-15T02:29:08.000","2017-10-15 02:36:23","79","79",
"B02888","2017-10-15T02:40:22.000","2017-10-15 02:53:41","107","148",
"B02888","2017-10-15T02:56:49.000","2017-10-15 03:07:11","148","231",
"B02888","2017-10-15T02:02:21.000","2017-10-15 02:12:35","87","211",
"B02888","2017-10-15T02:23:14.000","2017-10-15 02:36:42","45","158",
"B02888","2017-10-15T02:48:15.000","2017-10-15 02:58:22","158","107",
"B02888","2017-10-15T02:20:51.000","2017-10-15 02:40:30","208","241",
"B02884","2017-10-15T02:49:59.000","2017-10-15 02:54:44","189","181",
"B02884","2017-10-15T02:00:20.000","2017-10-15 02:21:59","148","137","1"
"B02884","2017-10-15T02:05:35.000","2017-10-15 02:36:48","148","230","1"
"B02884","2017-10-15T02:48:41.000","2017-10-15 03:15:40","161","195",
"B02884","2017-10-15T02:26:35.000","2017-10-15 02:37:59","234","230",
"B02884","2017-10-15T02:03:04.000","2017-10-15 02:15:20","25","80",
"B02884","2017-10-15T02:18:44.000","2017-10-15 02:46:46","112","41",
"B02884","2017-10-15T02:53:35.000","2017-10-15 03:17:06","80","263",
"B02884","2017-10-15T02:05:07.000","2017-10-15 02:15:54","198","63",
"B02884","2017-10-15T02:23:25.000","2017-10-15 02:44:47","63","129",
"B02884","2017-10-15T02:50:14.000","2017-10-15 03:02:02","129","57",
"B02914","2017-10-15T02:07:50.000","2017-10-15 02:25:34",,,
"B02914","2017-10-15T02:16:58.000","2017-10-15 02:34:24",,,
"B02914","2017-10-15T02:33:24.000","2017-10-15 02:42:03",,,
"B02914","2017-10-15T02:31:38.000","2017-10-15 02:50:56",,,
"B02914","2017-10-15T02:13:28.000","2017-10-15 02:41:23",,,
"B02914","2017-10-15T02:07:29.000","2017-10-15 02:25:35",,,
"B02914","2017-10-15T02:35:59.000","2017-10-15 02:50:40",,,
"B02914","2017-10-15T02:59:25.000","2017-10-15 03:07:31",,,
"B02914","2017-10-15T02:34:29.000","2017-10-15 02:57:50",,,
"B02914","2017-10-15T02:02:41.000","2017-10-15 02:18:00",,,
"B02914","2017-10-15T02:27:41.000","2017-10-15 02:35:30",,,
"B02888","2017-10-15T02:51:22.000","2017-10-15 02:54:36","220","241",
"B02888","2017-10-15T02:55:47.000","2017-10-15 03:12:00","148","68",
"B02888","2017-10-15T02:02:27.000","2017-10-15 02:14:06","144","25",
"B02888","2017-10-15T02:18:07.000","2017-10-15 02:29:31","181","195",
"B02888","2017-10-15T02:38:11.000","2017-10-15 02:54:15","40","113",
"B02888","2017-10-15T02:58:56.000","2017-10-15 03:18:24","107","261",
"B02888","2017-10-15T02:44:50.000","2017-10-15 02:55:26","83","129",
"B02888","2017-10-15T02:06:29.000","2017-10-15 02:15:47","186","48",
"B02888","2017-10-15T02:15:58.000","2017-10-15 02:24:59","170","68",
"B02888","2017-10-15T02:43:05.000","2017-10-15 02:52:42","158","234",
"B02888","2017-10-15T02:55:42.000","2017-10-15 03:22:08","234","225",
"B02884","2017-10-15T02:14:08.000","2017-10-15 02:27:03","148","137",
"B02884","2017-10-15T02:05:19.000","2017-10-15 02:30:46","170","265",
"B02884","2017-10-15T02:56:45.000","2017-10-15 03:12:00","68","265",
"B02884","2017-10-15T02:04:29.000","2017-10-15 02:50:36","198","21","1"
"B02884","2017-10-15T02:54:17.000","2017-10-15 02:58:31","123","21",
"B02884","2017-10-15T02:13:15.000","2017-10-15 02:36:41","79","80",
"B02884","2017-10-15T02:22:26.000","2017-10-15 02:42:28","148","100","1"
"B02884","2017-10-15T02:28:26.000","2017-10-15 02:46:02","148","246","1"
"B02884","2017-10-15T02:30:30.000","2017-10-15 02:53:30","148","143","1"
"B02884","2017-10-15T02:01:17.000","2017-10-15 02:18:06","37","112",
"B02884","2017-10-15T02:29:08.000","2017-10-15 02:37:57","172","176",
"B02914","2017-10-15T02:11:14.000","2017-10-15 02:27:43",,,
"B02914","2017-10-15T02:41:27.000","2017-10-15 03:10:09",,,
"B02914","2017-10-15T02:29:16.000","2017-10-15 02:37:35",,,
"B02914","2017-10-15T02:05:46.000","2017-10-15 02:26:49",,,
"B02914","2017-10-15T02:33:06.000","2017-10-15 02:41:33",,,
"B02914","2017-10-15T02:03:00.000","2017-10-15 02:09:03",,,
"B02914","2017-10-15T02:15:40.000","2017-10-15 02:39:09",,,
"B02914","2017-10-15T02:58:58.000","2017-10-15 03:06:00",,,
"B02914","2017-10-15T02:39:28.000","2017-10-15 02:45:51",,,
"B02914","2017-10-15T02:28:54.000","2017-10-15 02:34:42",,,
"B02914","2017-10-15T02:46:34.000","2017-10-15 03:04:40",,,
"B02888","2017-10-15T02:05:02.000","2017-10-15 02:23:56","164","265",
"B02888","2017-10-15T02:35:36.000","2017-10-15 02:57:37","249","17",
"B02888","2017-10-15T02:14:35.000","2017-10-15 02:23:47","114","125",
"B02888","2017-10-15T02:11:39.000","2017-10-15 02:26:51","79","65",
"B02888","2017-10-15T02:00:49.000","2017-10-15 02:07:36","82","82",
"B02888","2017-10-15T02:17:12.000","2017-10-15 02:42:11","82","169",
"B02888","2017-10-15T02:59:05.000","2017-10-15 03:13:25","174","42",
"B02888","2017-10-15T02:21:41.000","2017-10-15 02:33:14","148","249",
"B02888","2017-10-15T02:37:48.000","2017-10-15 02:48:42","249","148",
"B02888","2017-10-15T02:52:46.000","2017-10-15 03:26:21","79","36",
"B02888","2017-10-15T02:45:59.000","2017-10-15 02:51:42","35","77",
"B02884","2017-10-15T02:24:18.000","2017-10-15 02:32:51","171","16",
"B02884","2017-10-15T02:19:54.000","2017-10-15 02:26:07","61","17",
"B02884","2017-10-15T02:28:14.000","2017-10-15 02:42:53","17","36",
"B02884","2017-10-15T02:47:13.000","2017-10-15 02:59:23","198","80",
"B02884","2017-10-15T02:46:13.000","2017-10-15 03:06:12","223","63",
"B02884","2017-10-15T02:01:08.000","2017-10-15 02:18:23","80","233",
"B02884","2017-10-15T02:23:50.000","2017-10-15 02:35:19","170","246",
"B02884","2017-10-15T02:42:23.000","2017-10-15 02:57:32","50","236",
"B02884","2017-10-15T02:21:11.000","2017-10-15 02:39:13","256","87",
"B02884","2017-10-15T02:31:52.000","2017-10-15 02:39:50","256","37",
"B02884","2017-10-15T02:46:27.000","2017-10-15 03:02:58","37","255",
"B02930","2017-10-15T02:17:25.000","2017-10-15 02:32:10",,"265",
"B02930","2017-10-15T02:20:57.000","2017-10-15 02:24:39",,"265",
"B02930","2017-10-15T02:37:07.000","2017-10-15 02:43:14",,"265",
"B02930","2017-10-15T02:11:10.000","2017-10-15 02:24:54",,"265",
"B02930","2017-10-15T02:55:00.000","2017-10-15 03:03:34",,"265",
"B02942","2017-10-15T02:39:10.000","2017-10-15 02:50:29",,,
"B02942","2017-10-15T02:24:57.000","2017-10-15 03:09:27",,,
"B02951","2017-10-15T02:45:00.000","2017-10-15 02:58:02","169","47",
"B02996","2017-10-15T02:00:20.000","2017-10-15 02:30:51",,"265",
"B03008","2017-10-15T02:26:00.000","2017-10-15 02:34:00",,,
"B03008","2017-10-15T02:46:00.000","2017-10-15 03:10:00",,,
"B02888","2017-10-15T02:00:59.000","2017-10-15 02:24:06","100","36",
"B02888","2017-10-15T02:26:19.000","2017-10-15 02:35:57","36","112",
"B02888","2017-10-15T02:01:25.000","2017-10-15 02:07:41","61","225",
"B02888","2017-10-15T02:23:42.000","2017-10-15 02:32:42","225","37",
"B02888","2017-10-15T02:37:17.000","2017-10-15 03:04:16","36","89",
"B02888","2017-10-15T02:14:27.000","2017-10-15 02:24:47","79","158",
"B02888","2017-10-15T02:39:52.000","2017-10-15 02:51:02","158","143",
"B02888","2017-10-15T02:23:28.000","2017-10-15 03:07:15","181","174",
"B02888","2017-10-15T02:03:58.000","2017-10-15 02:24:00","198","112",
"B02888","2017-10-15T02:26:29.000","2017-10-15 02:45:32","255","148","1"
"B02888","2017-10-15T02:36:35.000","2017-10-15 03:02:33","256","33","1"
"B02884","2017-10-15T02:22:23.000","2017-10-15 02:30:54","79","234",
"B02884","2017-10-15T02:40:29.000","2017-10-15 03:03:59","249","265",
"B02884","2017-10-15T02:24:08.000","2017-10-15 02:48:14","106","39",
"B02884","2017-10-15T02:17:23.000","2017-10-15 02:27:59","74","116",
"B02884","2017-10-15T02:31:29.000","2017-10-15 02:43:47","116","126",
"B02884","2017-10-15T02:23:00.000","2017-10-15 02:43:27","232","36",
"B02884","2017-10-15T02:03:18.000","2017-10-15 02:20:30","225","188","1"
"B02884","2017-10-15T02:14:37.000","2017-10-15 02:29:35","61","71","1"
"B02884","2017-10-15T02:29:50.000","2017-10-15 02:56:18","79","37",
"B02884","2017-10-15T02:42:45.000","2017-10-15 03:03:55","95","192","1"
"B02884","2017-10-15T02:50:41.000","2017-10-15 03:12:23","95","98","1"
"B03015","2017-10-15T02:07:38.000","2017-10-15 02:10:53",,"265",
"B03015","2017-10-15T02:27:06.000","2017-10-15 02:30:32",,"265",
"B03015","2017-10-15T02:39:11.000","2017-10-15 02:43:01",,"265",
"B03015","2017-10-15T02:49:25.000","2017-10-15 02:59:42",,"265",
"B03015","2017-10-15T02:07:44.000","2017-10-15 02:37:01",,"265",
"B03015","2017-10-15T02:17:38.000","2017-10-15 02:26:59",,"265",
"B03015","2017-10-15T02:33:20.000","2017-10-15 02:37:06",,"265",
"B03015","2017-10-15T02:58:20.000","2017-10-15 03:02:42",,"265",
"B03033","2017-10-15T02:28:49.000","2017-10-15 02:30:21",,"265",
"B03042","2017-10-15T02:09:53.000","2017-10-15 02:40:03",,"265",
"B03042","2017-10-15T02:10:27.000","2017-10-15 02:31:02",,"265",
"B02888","2017-10-15T02:18:34.000","2017-10-15 02:28:08","171","175",
"B02888","2017-10-15T02:03:35.000","2017-10-15 02:10:37","65","40",
"B02888","2017-10-15T02:29:47.000","2017-10-15 02:39:21","148","256",
"B02888","2017-10-15T02:05:20.000","2017-10-15 02:22:30","144","186",
"B02888","2017-10-15T02:24:18.000","2017-10-15 02:39:50","186","79",
"B02888","2017-10-15T02:50:31.000","2017-10-15 03:06:48","148","265",
"B02888","2017-10-15T02:08:06.000","2017-10-15 02:20:06","220","169",
"B02888","2017-10-15T02:04:00.000","2017-10-15 02:20:09","14","214",
"B02888","2017-10-15T02:48:56.000","2017-10-15 03:06:40","206","187",
"B02888","2017-10-15T02:22:35.000","2017-10-15 02:31:31","48","152",
"B02888","2017-10-15T02:17:19.000","2017-10-15 02:35:14","148","49",
"B02884","2017-10-15T02:15:27.000","2017-10-15 02:31:46","255","211",
"B02884","2017-10-15T02:38:20.000","2017-10-15 02:57:14","114","255",
"B02884","2017-10-15T02:21:57.000","2017-10-15 02:42:26","127","167",
"B02884","2017-10-15T02:06:43.000","2017-10-15 02:11:59","237","162",
"B02884","2017-10-15T02:27:47.000","2017-10-15 02:41:12","158","79",
"B02884","2017-10-15T02:44:54.000","2017-10-15 03:05:22","79","158",
"B02884","2017-10-15T02:05:14.000","2017-10-15 02:09:14","48","163",
"B02884","2017-10-15T02:47:32.000","2017-10-15 03:08:56","230","226",
"B02884","2017-10-15T02:27:46.000","2017-10-15 02:38:24","249","107",
"B02884","2017-10-15T02:17:50.000","2017-10-15 02:32:05","226","263",
"B02884","2017-10-15T02:40:08.000","2017-10-15 02:59:42","229","235",
"B03042","2017-10-15T02:48:35.000","2017-10-15 03:10:36",,"265",
"B03055","2017-10-15T02:31:46.000","2017-10-15 10:51:53",,"265",
"B03060","2017-10-15T02:01:26.000","2017-10-15 02:17:07",,"265",
"B03060","2017-10-15T02:16:58.000","2017-10-15 02:38:09",,"265",
"B03060","2017-10-15T02:58:58.000","2017-10-15 03:04:10",,"265",
"B00111","2017-10-15T02:12:26.000","2017-10-15 02:44:22",,,
"B00131","2017-10-15T02:52:35.000","2017-10-15 03:30:15","227","89",
"B00149","2017-10-15T02:43:27.000","2017-10-15 02:51:45",,"265",
"B02510","2017-10-15T02:03:29.000","2017-10-15 02:16:28","256","49","1"
"B02510","2017-10-15T02:43:46.000","2017-10-15 03:19:30","92","68",
"B02510","2017-10-15T02:24:59.000","2017-10-15 02:38:29","203","191",
"B02510","2017-10-15T02:44:47.000","2017-10-15 02:52:09","38","265",
"B02510","2017-10-15T02:30:29.000","2017-10-15 03:06:14","37","106","1"
"B02510","2017-10-15T02:35:40.000","2017-10-15 02:57:00","61","133","1"
"B02510","2017-10-15T02:50:38.000","2017-10-15 03:15:16","190","228","1"
"B02510","2017-10-15T02:19:33.000","2017-10-15 02:29:47","83","260",
"B02510","2017-10-15T02:35:13.000","2017-10-15 02:50:32","260","157",
"B02510","2017-10-15T02:46:20.000","2017-10-15 03:06:25","79","143",
"B02510","2017-10-15T02:42:56.000","2017-10-15 03:00:44","61","232",
"B02510","2017-10-15T02:16:38.000","2017-10-15 02:46:26","48","97",
"B02510","2017-10-15T02:34:55.000","2017-10-15 03:06:23","125","90",
"B02888","2017-10-15T02:34:44.000","2017-10-15 02:45:16","92","252",
"B02888","2017-10-15T02:24:37.000","2017-10-15 02:38:43","244","238",
"B02888","2017-10-15T02:06:12.000","2017-10-15 02:27:51","249","228",
"B02888","2017-10-15T02:04:07.000","2017-10-15 02:14:47","244","159",
"B02888","2017-10-15T02:20:36.000","2017-10-15 02:35:31","159","136",
"B02888","2017-10-15T02:38:47.000","2017-10-15 02:42:41","235","235",
"B02888","2017-10-15T02:51:24.000","2017-10-15 03:03:11","235","42",
"B02888","2017-10-15T02:00:35.000","2017-10-15 02:03:46","167","167",
"B02888","2017-10-15T02:32:51.000","2017-10-15 02:54:19","161","265",
"B02888","2017-10-15T02:45:47.000","2017-10-15 02:51:38","84","109",
"B02888","2017-10-15T02:47:04.000","2017-10-15 03:11:14","48","79",
"B02884","2017-10-15T02:10:20.000","2017-10-15 02:22:03","37","198",
"B02884","2017-10-15T02:40:20.000","2017-10-15 02:48:15","80","36",
"B02884","2017-10-15T02:55:09.000","2017-10-15 03:08:44","37","97",
"B02884","2017-10-15T02:13:24.000","2017-10-15 02:33:30","90","33",
"B02884","2017-10-15T02:03:34.000","2017-10-15 02:30:45","229","97","1"
"B02884","2017-10-15T02:09:49.000","2017-10-15 02:32:35","233","97","1"
"B02884","2017-10-15T02:47:52.000","2017-10-15 03:17:41","129","244","1"
"B02884","2017-10-15T02:53:24.000","2017-10-15 03:01:00","129","7","1"
"B02884","2017-10-15T02:32:51.000","2017-10-15 02:46:54","256","25",
"B02884","2017-10-15T02:35:55.000","2017-10-15 03:12:00","148","225",
"B02884","2017-10-15T02:03:35.000","2017-10-15 02:13:29","51","250",
"B02888","2017-10-15T02:35:02.000","2017-10-15 02:41:29","127","243",
"B02888","2017-10-15T02:44:13.000","2017-10-15 02:59:00","243","69",
"B02888","2017-10-15T02:32:44.000","2017-10-15 02:50:03","25","141",
"B02888","2017-10-15T02:55:58.000","2017-10-15 03:16:40","237","244","1"
"B02888","2017-10-15T02:20:04.000","2017-10-15 02:30:17","216","258",
"B02888","2017-10-15T02:39:48.000","2017-10-15 02:46:03","258","258",
"B02888","2017-10-15T02:14:58.000","2017-10-15 03:05:45","250","265",
"B02888","2017-10-15T02:33:34.000","2017-10-15 02:36:45","244","243",
"B02888","2017-10-15T02:49:10.000","2017-10-15 03:05:17","243","69",
"B02888","2017-10-15T02:07:25.000","2017-10-15 02:32:55","164","244",
"B02888","2017-10-15T02:50:30.000","2017-10-15 03:08:02","50","107",
"B02884","2017-10-15T02:18:03.000","2017-10-15 02:25:12","250","208",
"B02884","2017-10-15T02:09:16.000","2017-10-15 02:18:15","73","92",
"B02884","2017-10-15T02:23:28.000","2017-10-15 02:55:39","92","90",
"B02884","2017-10-15T02:15:53.000","2017-10-15 02:20:41","125","234",
"B02884","2017-10-15T02:22:46.000","2017-10-15 02:52:40","113","74","1"
"B02884","2017-10-15T02:25:50.000","2017-10-15 03:02:29","107","147","1"
"B02884","2017-10-15T02:31:06.000","2017-10-15 02:41:51","107","43","1"
"B02884","2017-10-15T02:24:20.000","2017-10-15 02:42:36","95","129",
"B02884","2017-10-15T02:56:36.000","2017-10-15 03:18:56","92","134",
"B02884","2017-10-15T02:13:42.000","2017-10-15 02:28:12","114","137",
"B02884","2017-10-15T02:31:58.000","2017-10-15 02:40:14","170","140",
"B02888","2017-10-15T02:31:28.000","2017-10-15 02:42:58","256","80",
"B02888","2017-10-15T02:47:39.000","2017-10-15 02:57:41","36","256",
"B02888","2017-10-15T02:13:24.000","2017-10-15 02:30:25","79","263",
"B02888","2017-10-15T02:48:11.000","2017-10-15 02:58:32","34","80",
"B02888","2017-10-15T02:16:26.000","2017-10-15 03:08:47","107","265",
"B02888","2017-10-15T02:00:43.000","2017-10-15 02:11:15","36","225",
"B02888","2017-10-15T02:14:39.000","2017-10-15 02:26:35","61","71",
"B02888","2017-10-15T02:26:15.000","2017-10-15 02:37:11","231","148",
"B02888","2017-10-15T02:45:11.000","2017-10-15 02:59:58","148","234",
"B02888","2017-10-15T02:08:28.000","2017-10-15 02:24:20","79","265",
"B02888","2017-10-15T02:38:49.000","2017-10-15 04:02:58","114","265",
"B02884","2017-10-15T02:14:07.000","2017-10-15 02:48:45","230","7",
"B02884","2017-10-15T02:54:15.000","2017-10-15 03:04:39","7","229",
"B02884","2017-10-15T02:01:20.000","2017-10-15 02:12:06","181","89",
"B02884","2017-10-15T02:18:53.000","2017-10-15 02:44:48","79","238","1"
"B02884","2017-10-15T02:21:32.000","2017-10-15 02:31:43","79","229","1"
"B02884","2017-10-15T02:51:40.000","2017-10-15 03:15:00","239","7",
"B02884","2017-10-15T02:14:16.000","2017-10-15 02:21:38","250","78",
"B02884","2017-10-15T02:39:29.000","2017-10-15 02:56:23","56","129","1"
"B02884","2017-10-15T02:47:06.000","2017-10-15 02:52:36","82","129","1"
"B02884","2017-10-15T02:59:23.000","2017-10-15 03:20:50","82","247",
"B02884","2017-10-15T02:23:11.000","2017-10-15 02:41:13","68","79",
"B02888","2017-10-15T02:17:32.000","2017-10-15 02:31:38","170","50","1"
"B02888","2017-10-15T02:22:23.000","2017-10-15 02:46:56","164","244","1"
"B02888","2017-10-15T02:04:36.000","2017-10-15 02:28:12","125","238",
"B02888","2017-10-15T02:23:21.000","2017-10-15 02:32:20","256","80",
"B02888","2017-10-15T02:34:10.000","2017-10-15 02:38:04","36","198",
"B02888","2017-10-15T02:41:14.000","2017-10-15 03:02:48","36","107",
"B02888","2017-10-15T02:31:48.000","2017-10-15 02:45:59","98","252",
"B02888","2017-10-15T02:18:26.000","2017-10-15 02:25:51","37","36",
"B02888","2017-10-15T02:23:22.000","2017-10-15 02:37:00","41","246",
"B02888","2017-10-15T02:42:44.000","2017-10-15 03:03:35","50","7",
"B02888","2017-10-15T02:18:51.000","2017-10-15 02:22:38","70","173",
"B02884","2017-10-15T02:55:56.000","2017-10-15 03:12:02","148","75",
"B02884","2017-10-15T02:07:13.000","2017-10-15 02:33:05","107","7",
"B02884","2017-10-15T02:09:46.000","2017-10-15 02:29:37","148","211","1"
"B02884","2017-10-15T02:16:06.000","2017-10-15 02:45:18","148","265","1"
"B02884","2017-10-15T02:01:44.000","2017-10-15 02:25:15","79","170",
"B02884","2017-10-15T02:34:17.000","2017-10-15 02:55:11","107","243",
"B02884","2017-10-15T02:12:12.000","2017-10-15 02:20:11","260","82",
"B02884","2017-10-15T02:29:02.000","2017-10-15 02:41:48","83","56",
"B02884","2017-10-15T02:13:13.000","2017-10-15 02:20:51","255","80",
"B02884","2017-10-15T02:30:00.000","2017-10-15 02:39:16","112","256",
"B02884","2017-10-15T02:56:55.000","2017-10-15 03:19:26","256","230",
"B02888","2017-10-15T02:08:28.000","2017-10-15 02:13:51","246","234",
"B02888","2017-10-15T02:18:35.000","2017-10-15 02:36:15","234","265",
"B02888","2017-10-15T02:29:22.000","2017-10-15 02:40:14","79","68",
"B02888","2017-10-15T02:42:55.000","2017-10-15 02:59:43","68","265",
"B02888","2017-10-15T02:24:11.000","2017-10-15 02:31:58","129","129",
"B02888","2017-10-15T02:38:15.000","2017-10-15 02:42:21","82","173",
"B02888","2017-10-15T02:51:51.000","2017-10-15 03:27:22","82","265",
"B02888","2017-10-15T02:17:13.000","2017-10-15 02:22:58","36","37",
"B02888","2017-10-15T02:04:16.000","2017-10-15 02:41:40","106","77","1"
"B02888","2017-10-15T02:21:28.000","2017-10-15 02:45:44","89","77","1"
"B02888","2017-10-15T02:55:49.000","2017-10-15 03:07:20","77","39",
"B02884","2017-10-15T02:37:57.000","2017-10-15 03:10:54","91","216",
"B02884","2017-10-15T02:27:26.000","2017-10-15 03:01:39","7","21",
"B02884","2017-10-15T02:50:44.000","2017-10-15 02:56:36","157","160",
"B02884","2017-10-15T02:48:23.000","2017-10-15 03:17:08","246","75","1"
"B02884","2017-10-15T02:58:14.000","2017-10-15 03:19:36","48","75","1"
"B02884","2017-10-15T02:32:48.000","2017-10-15 02:39:25","129","260",
"B02884","2017-10-15T02:47:38.000","2017-10-15 02:51:47","260","260",
"B02884","2017-10-15T02:03:31.000","2017-10-15 02:17:45","80","260",
"B02884","2017-10-15T02:35:43.000","2017-10-15 03:14:06","232","7","1"
"B02884","2017-10-15T02:43:42.000","2017-10-15 02:54:23","79","229","1"
"B02884","2017-10-15T02:15:08.000","2017-10-15 02:26:54","234","233",
"B02888","2017-10-15T02:31:58.000","2017-10-15 02:51:12","68","166",
"B02888","2017-10-15T02:52:50.000","2017-10-15 03:07:43","166","68",
"B02888","2017-10-15T02:08:03.000","2017-10-15 02:17:38","61","181",
"B02888","2017-10-15T02:22:03.000","2017-10-15 02:28:37","181","106",
"B02888","2017-10-15T02:32:31.000","2017-10-15 02:43:55","106","227",
"B02888","2017-10-15T02:56:16.000","2017-10-15 03:10:17","181","232",
"B02888","2017-10-15T02:06:53.000","2017-10-15 02:19:55","148","234",
"B02888","2017-10-15T02:29:09.000","2017-10-15 02:43:11","234","229",
"B02888","2017-10-15T02:46:53.000","2017-10-15 03:00:12","229","143",
"B02888","2017-10-15T02:06:55.000","2017-10-15 02:23:42","148","7",
"B02888","2017-10-15T02:38:21.000","2017-10-15 02:42:12","7","146",
"B02884","2017-10-15T02:47:57.000","2017-10-15 03:37:12","234","39",
"B02884","2017-10-15T02:04:33.000","2017-10-15 02:16:26","165","71",
"B02884","2017-10-15T02:06:04.000","2017-10-15 02:30:57","166","265",
"B02884","2017-10-15T02:15:16.000","2017-10-15 02:31:11","173","7",
"B02884","2017-10-15T02:32:13.000","2017-10-15 02:37:33","7","223",
"B02884","2017-10-15T02:40:27.000","2017-10-15 02:53:52","179","157",
"B02884","2017-10-15T02:01:29.000","2017-10-15 02:09:46","92","171","1"
"B02884","2017-10-15T02:34:18.000","2017-10-15 03:18:51","232","216",
"B02884","2017-10-15T02:12:09.000","2017-10-15 02:26:52","249","170",
"B02884","2017-10-15T02:36:45.000","2017-10-15 03:10:00","164","174",
"B02884","2017-10-15T02:21:33.000","2017-10-15 02:45:16","229","190",
"B02888","2017-10-15T02:01:21.000","2017-10-15 02:22:57","148","7",
"B02888","2017-10-15T02:25:47.000","2017-10-15 02:37:05","7","82",
"B02888","2017-10-15T02:48:04.000","2017-10-15 03:03:15","82","134",
"B02888","2017-10-15T02:51:20.000","2017-10-15 03:03:09","35","76",
"B02888","2017-10-15T02:07:15.000","2017-10-15 02:32:58","65","1",
"B02888","2017-10-15T02:36:04.000","2017-10-15 02:50:05","256","25",
"B02888","2017-10-15T02:04:18.000","2017-10-15 02:36:24","37","158",
"B02888","2017-10-15T02:46:38.000","2017-10-15 03:14:31","158","112",
"B02888","2017-10-15T02:03:31.000","2017-10-15 02:08:23","257","133",
"B02888","2017-10-15T02:17:13.000","2017-10-15 02:23:50","181","257",
"B02888","2017-10-15T02:13:49.000","2017-10-15 02:20:22","197","130",
"B02888","2017-10-15T02:46:34.000","2017-10-15 03:12:14","196","14",
"B02888","2017-10-15T02:22:07.000","2017-10-15 02:40:26","255","106",
"B02888","2017-10-15T02:43:13.000","2017-10-15 02:53:04","106","61",
"B02888","2017-10-15T02:09:37.000","2017-10-15 02:29:44","80","67",
"B02888","2017-10-15T02:40:30.000","2017-10-15 02:46:54","228","14",
"B02888","2017-10-15T02:55:06.000","2017-10-15 03:16:12","228","228",
"B02888","2017-10-15T02:17:28.000","2017-10-15 02:38:32","141","68",
"B02888","2017-10-15T02:44:27.000","2017-10-15 03:09:01","68","129",
"B02888","2017-10-15T02:08:10.000","2017-10-15 02:28:28","181","89",
"B02888","2017-10-15T02:06:00.000","2017-10-15 02:33:04","211","36",
"B02888","2017-10-15T02:38:06.000","2017-10-15 03:09:31","36","211","1"
"B02884","2017-10-15T02:13:48.000","2017-10-15 02:39:11","255","97",
"B02884","2017-10-15T02:49:13.000","2017-10-15 03:32:23","148","265",
"B02884","2017-10-15T02:04:47.000","2017-10-15 02:10:17","211","114",
"B02884","2017-10-15T02:16:05.000","2017-10-15 02:42:31","249","263",
"B02884","2017-10-15T02:12:13.000","2017-10-15 02:18:42","60","212",
"B02884","2017-10-15T02:29:07.000","2017-10-15 02:39:19","212","126",
"B02884","2017-10-15T02:57:02.000","2017-10-15 03:07:50","159","167",
"B02884","2017-10-15T02:09:22.000","2017-10-15 02:33:18","148","225",
"B02884","2017-10-15T02:15:27.000","2017-10-15 02:24:47","95","56",
"B02884","2017-10-15T02:09:20.000","2017-10-15 02:25:26","43","137","1"
"B02884","2017-10-15T02:15:18.000","2017-10-15 02:43:18","163","232","1"
"B02888","2017-10-15T02:41:42.000","2017-10-15 02:57:24","36","79","1"
"B02888","2017-10-15T02:48:48.000","2017-10-15 03:27:25","164","265",
"B02888","2017-10-15T02:26:03.000","2017-10-15 02:35:41","158","142",
"B02888","2017-10-15T02:33:51.000","2017-10-15 02:49:32","66","129",
"B02888","2017-10-15T02:53:24.000","2017-10-15 03:11:35","129","41",
"B02888","2017-10-15T02:07:02.000","2017-10-15 02:28:02","42","81",
"B02888","2017-10-15T02:58:10.000","2017-10-15 03:09:40","3","242","1"
"B02888","2017-10-15T02:59:44.000","2017-10-15 03:17:27","3","126","1"
"B02888","2017-10-15T02:12:31.000","2017-10-15 02:33:19","114","74",
"B02888","2017-10-15T02:41:31.000","2017-10-15 03:03:41","263","148",
"B02888","2017-10-15T02:44:23.000","2017-10-15 03:12:44","114","85",
"B02884","2017-10-15T02:32:31.000","2017-10-15 02:48:32","79","231","1"
"B02884","2017-10-15T02:27:48.000","2017-10-15 02:34:31","37","80",
"B02884","2017-10-15T02:38:59.000","2017-10-15 02:50:21","157","17",
"B02884","2017-10-15T02:22:45.000","2017-10-15 02:41:21","260","10",
"B02884","2017-10-15T02:51:46.000","2017-10-15 02:55:31","197","216",
"B02884","2017-10-15T02:07:57.000","2017-10-15 02:11:48","203","203","1"
"B02884","2017-10-15T02:09:54.000","2017-10-15 02:25:54","203","132","1"
"B02884","2017-10-15T02:11:04.000","2017-10-15 02:27:33","225","198",
"B02884","2017-10-15T02:06:43.000","2017-10-15 02:17:05","206","115",
"B02884","2017-10-15T02:25:37.000","2017-10-15 02:52:29","225","255",
"B02884","2017-10-15T02:37:35.000","2017-10-15 02:48:38","256","112",
"B02888","2017-10-15T02:19:45.000","2017-10-15 02:43:16","255","68",
"B02888","2017-10-15T02:25:00.000","2017-10-15 02:38:11","203","216",
"B02888","2017-10-15T02:38:56.000","2017-10-15 02:59:45","216","198",
