"dispatching_base_num","pickup_datetime","dropoff_datetime","pulocationid","dolocationid","sr_flag"
"B02884","2017-10-15T02:14:04.000","2017-10-15 02:30:23","255","140",
"B02884","2017-10-15T02:59:54.000","2017-10-15 03:07:51","90","125",
"B02884","2017-10-15T02:40:16.000","2017-10-15 03:02:09","82","36","1"
"B02884","2017-10-15T02:51:11.000","2017-10-15 03:17:21","80","37","1"
"B02884","2017-10-15T02:55:51.000","2017-10-15 03:10:41","80","198","1"
"B02884","2017-10-15T02:15:11.000","2017-10-15 02:41:40","158","61",
"B02884","2017-10-15T02:13:40.000","2017-10-15 02:21:45","148","231",
"B02888","2017-10-15T02:48:12.000","2017-10-15 02:51:12","225","225",
"B02888","2017-10-15T02:58:24.000","2017-10-15 03:23:07","37","181",
"B02888","2017-10-15T02:00:48.000","2017-10-15 02:25:56","112","188",
"B02888","2017-10-15T02:55:20.000","2017-10-15 03:03:32","129","129",
"B02888","2017-10-15T02:06:37.000","2017-10-15 02:26:51","48","116","1"
"B02888","2017-10-15T02:54:18.000","2017-10-15 02:58:26","24","166",
"B02888","2017-10-15T02:19:23.000","2017-10-15 02:30:14","225","62",
"B02888","2017-10-15T02:37:09.000","2017-10-15 02:49:21","158","87",
"B02888","2017-10-15T02:42:13.000","2017-10-15 03:06:00","22","201",
"B02888","2017-10-15T02:12:02.000","2017-10-15 02:18:47","61","61",
"B02888","2017-10-15T02:23:10.000","2017-10-15 02:34:07","61","25",
"B02914","2017-10-15T02:59:39.000","2017-10-15 03:20:09",,,
"B02914","2017-10-15T02:21:52.000","2017-10-15 02:35:00",,,
"B02914","2017-10-15T02:48:36.000","2017-10-15 03:14:28",,,
"B02914","2017-10-15T02:40:52.000","2017-10-15 03:00:52",,,
"B02914","2017-10-15T02:46:37.000","2017-10-15 02:57:02",,,
"B02914","2017-10-15T02:27:02.000","2017-10-15 02:34:21",,,
"B02914","2017-10-15T02:26:14.000","2017-10-15 02:35:18",,,
"B02914","2017-10-15T02:42:54.000","2017-10-15 03:08:48",,,
"B02914","2017-10-15T02:21:26.000","2017-10-15 02:51:48",,,
"B02914","2017-10-15T02:15:51.000","2017-10-15 02:28:51",,,
"B02914","2017-10-15T02:59:04.000","2017-10-15 03:27:11",,,
"B02884","2017-10-15T02:32:40.000","2017-10-15 02:40:05","148","231",
"B02884","2017-10-15T02:51:06.000","2017-10-15 03:18:27","113","7",
"B02884","2017-10-15T02:02:20.000","2017-10-15 02:31:16","181","114","1"
"B02884","2017-10-15T02:04:24.000","2017-10-15 02:49:35","181","142","1"
"B02884","2017-10-15T02:10:20.000","2017-10-15 02:41:19","181","90","1"
"B02884","2017-10-15T02:00:19.000","2017-10-15 02:18:25","181","80",
"B02884","2017-10-15T02:22:14.000","2017-10-15 02:38:16","80","79",
"B02884","2017-10-15T02:28:01.000","2017-10-15 02:48:58","158","45",
"B02884","2017-10-15T02:52:41.000","2017-10-15 03:11:10","144","62",
"B02884","2017-10-15T02:19:35.000","2017-10-15 03:08:21","68","265",
"B02884","2017-10-15T02:25:16.000","2017-10-15 02:41:46","21","257",
"B02888","2017-10-15T02:42:37.000","2017-10-15 02:59:50","40","37",
"B02888","2017-10-15T02:23:25.000","2017-10-15 02:34:22","41","48",
"B02888","2017-10-15T02:40:15.000","2017-10-15 02:51:52","48","75",
"B02888","2017-10-15T02:17:07.000","2017-10-15 02:25:28","137","107",
"B02888","2017-10-15T02:27:57.000","2017-10-15 02:48:18","107","163","1"
"B02888","2017-10-15T02:42:01.000","2017-10-15 02:54:04","100","229","1"
"B02888","2017-10-15T02:49:51.000","2017-10-15 03:02:07","114","164",
"B02888","2017-10-15T02:34:50.000","2017-10-15 02:45:01","61","35",
"B02888","2017-10-15T02:17:22.000","2017-10-15 02:27:45","225","36",
"B02888","2017-10-15T02:12:37.000","2017-10-15 02:26:41","144","163",
"B02888","2017-10-15T02:48:55.000","2017-10-15 03:09:12","113","97",
"B02914","2017-10-15T02:29:26.000","2017-10-15 02:45:20",,,
"B02914","2017-10-15T02:03:34.000","2017-10-15 02:13:12",,,
